stage,eye,neural,olfactory,periderm,spinal.cord
 14-21,0,0.98,0,0,0
 24-34,0,1.1,0.99,0,0
 36-46,0,7.79,0,0,0
 48-58,0,0,0,0,0.59
 72-82,0,0,0,0,5.84
 84-94,2.29,0,0,0,0
 96-106,0,2.31,0,2.24,0
