stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,38.57,0,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.47,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.91,0,0,35.43,5.81,0.85,0,0,0,0,3.38,0,13.7,6.37,0,0,0,0,0
 24-34,0,0,0,23.28,1.33,0,0,0,9.86,1.89,0,0,0,0,0,0,1.32,0,3.87,189.03,0,2.43,104.01,42.09,0,0.78,1.33,0,0,1.04,0,53.03,18.41,0,0,0,0,0
 36-46,0,0,0,9.12,0.81,2.7,0,0,27.85,2.83,0,0,0,1.23,0,0,11.81,0,0,443.41,0,0,189.81,146.47,0.71,0.73,0.69,0,0,1.63,0,0,81.39,0,0,0.91,0,0
 48-58,0,0,0,17.85,0,29.47,0,7.64,20.62,3.54,0,4.2,0,0,0,0,3.48,0,2.51,734.39,0,4.27,289.35,392.91,1.36,2.15,1.42,0.39,0.42,0,0,0,263.19,0,0,0.43,0,1.67
 60-70,0,0,0,5.78,0,46.01,1.23,7.16,45.04,8.22,0,7.64,3.87,1.92,0,0,12.66,2.74,0,1238.69,1.91,4.58,236.64,391.71,0,0,10.18,0,0,0,0,0,355.22,15.69,0,0,4.53,14.55
 72-82,0,1.4,0,13.31,0.57,63.58,0,3.32,35.78,12.66,0,0,0,1.79,0,2.48,23.44,0,0,1534.04,0,9.97,355.06,323.25,0,4.09,1.47,0,5.33,0,0,0,182.26,116.91,4.57,0.59,3.29,0
 84-94,0,0,0,42.81,0,134.04,0,2.61,50.44,6.69,7.05,2.81,0,0,0.86,0,19.23,5.44,0,1644.96,0,11.36,353.12,248.38,0,1.12,14.8,0,0.59,0,0,0,135.08,275.07,6.05,1.48,2.03,0
 96-106,0,0,0,14.35,7.48,89.56,1.93,2.72,25.91,14.88,12.04,0,1.61,1.4,1.73,0,46.83,0,0,1530.34,1.15,9.76,299.97,230.76,2.63,5.84,4.15,0,14.54,0,0.6,0,55.6,215.86,4.74,0.7,9.62,3.14
108-118,0,0,0.49,14.62,0,57.26,0.72,4.25,43.82,9.85,3.88,0,0,1.56,0,0,32.57,0,0,1559.2,1.61,2.53,297.79,281.66,0,3.86,5.87,3.67,0.6,0,0,0,52.65,121.27,0,0,2.07,0
120,0,0,0,21.98,0,75.03,0,0,30.34,4.32,0,0,0,6.68,0,0,2.39,0,0,1064.8,3.12,4.93,269.3,448.38,0,13.75,0,0,0,0,0,0,6.41,78.54,0,0,0,0
