stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,44.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.05,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,34.04,0,0,0,8.58,0,0,0,0,0,0,0,0,0,0
 10-12,4.52,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,79.88,4.42,0,0,10.9,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.48,0,0,0,0,7.48,0,0,0,0.92,0,4.75,0,0,27.19,0,0.92,0,1.14,0,4.67,1.72,0,4.99,24.32,0,0,0,0
 24-34,0,0,5.25,0,1.54,4.42,0,1.45,0,0,0,0,0,5.32,0,0,90.17,0,0.78,0,0,2.24,0,1.08,0,0,20.15,0,1.24,0,0
 36-46,0,0,0,0.76,18.28,0,0,5.35,0,0,0,0,0,6.74,0,1.66,171.55,0.84,4.92,0,0,0.94,0,0.58,0,0,30.45,0,0,0,0
 48-58,0,0,1.26,0,44.61,0.81,0.88,8.35,0.49,0,0.83,0.42,0,7.03,0,1.16,140.07,0,0.88,0,0,0.48,0,0,0,0,31.99,0,0,0,0
 60-70,0,0,8.64,0,145.41,2.72,0,7.35,0,0,0,0,0,11.23,0.85,1.76,142.38,0,4.1,0,0,2.38,0,0,0,0,16.26,1.84,0,0,0
 72-82,0,0,0,0,114.14,0,0,3.42,0,0,0.5,1.37,0,6.81,1.32,0,66.48,0,6.4,0,0,0,0,0,0,0,6.37,0,0,0.71,0
 84-94,0,0,1.67,2.19,62.99,0,2.09,15.25,0,0,0,0,0,5.14,0,1,52.84,0,3.1,0,0,0.69,0,0,0,0,6.67,0,0.93,0,2.12
 96-106,0,0,0,4.85,92.39,1.25,0.75,12.87,1.53,0,1.62,0.84,1.69,10.65,0,0.69,52.07,0,9.26,2.41,0,9.7,0,0,0,0,2.63,0,4.01,1.49,0
108-118,0,0,4.66,16.85,115.51,2.93,0.65,5.88,0.47,0,0.95,0,1.52,27.04,0.66,0,45.56,0,8.38,0,0,1.85,0,0,0.46,0,1.01,0,0.55,1.09,1.55
120,0,0,0,2.91,167.86,3.62,0,9.75,0,0,1.23,0,0,6.97,0,0,63.19,1.33,4.46,1.43,0,0,0,0,0,0,6.29,0,0,0,0
