stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,19.98,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0.98,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0,0,0.7,0,0,0,0
 36-46,0,0,0,0,10.22,0,0,0.65,0,0,0.85,0,17.51,0,0,0,1.85,0,0,0
 48-58,0.4,0,0,0,0,0,3.92,0,0,16.86,2.85,0,16.39,0,0,0,33.51,0,0,0
 60-70,0,0,0,4.85,0,0,0,0,0,67.46,0.84,0,11.17,0,0,0,41.13,0,0,0
 72-82,0.52,0,0,8.53,0,0,0,0,0,73.91,10.08,0.99,37.94,0,1.23,0,18.44,0,1.14,0
 84-94,0,0,0,0,3.12,0,1.26,0,0.68,127.98,15.93,0,59.75,7.53,1.49,0,4.66,0,0,1.99
 96-106,1.07,0,0,12.44,3.59,1.8,0.57,0,0,77.7,18.56,0,31.08,0,0,0,18.14,1.22,0,0
108-118,0,1.64,9.58,9.3,8.72,1.83,1.24,0,0,148.79,5.8,0,93.33,0,0,0,7.25,0,0,1.73
120,0,0,0,0,4.5,0,0,0,0,58.03,5.14,0,178.55,0,0,0,18.81,0,0,0
