stage,eye,neural,periderm,spinal.cord
 24-34,0,2.63,0,0
 36-46,0,1,0,0.66
 48-58,0,1.25,0,4.42
 60-70,0,3.73,0,0
108-118,0,1.13,0,0
120,5.62,0,1.36,0
