stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.72,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,787.68,0,0,0,0,0,0,0,0,0,0,7.67,1.07,6.4,0,0,115.12,1.34,0,1.74,2.41,0,0
 24-34,0,0,0.7,149.81,3.58,0.93,0.92,0,0,0,0.62,0,0,2.27,1.74,3.05,39.5,0.9,0.71,363.22,0,0,2.57,1,0,0
 36-46,0,1.35,0,94.72,2.46,35.88,2.69,0,0,0,2.02,0,0,1.53,1.05,5.19,21.28,0.56,0.81,243.91,0,2.22,0,1.95,0.6,0
 48-58,0,0,0,7.2,1.04,18.73,0,0,0,0.38,0,0,0,1.17,0,0.59,29.44,0,0,71.01,0,0,0,0,0,3.49
 60-70,0,0,0,44.24,5.88,35.25,0,3.37,0,0.7,0,0,0,11.99,0.97,1.46,26.42,0,0,75.86,0,0,0,3.67,0,0
 72-82,0,0,0,10.64,8.52,3.91,0,0,9.15,0,0,0,0,8.73,0,0.79,26.03,0,0,0.55,0,0,0,1.98,0,0
 84-94,0,0.8,0,32.4,0.61,0,0,0,5.03,0,0,0,0,2.42,0,1.03,5.32,0,0,12.75,0,0,0,0,0,0
 96-106,0,0,0,58.35,8.29,2.41,0,0,9.67,0,3.79,0,0.97,9.81,0,0,11.57,0,0,38.19,0,0,0,0,0,0
108-118,0,0,0,32.11,0,2.44,0,0.72,8.65,0.56,1.14,0,2.39,11.33,0,0,10.72,0,0,23.11,0,0.98,0,0,0,0
120,0,0,0,26.11,0,0,0,0,6.58,0,0,2.12,0,19.41,0,0,8.96,0,0,6.36,0,0,0,0,0,0
