stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,392.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.7,1135.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.78,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0
  7-9,0,3.94,0,8.54,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.21,3.96,0,73.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,37.02,0,0,0,5.3,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,173.4,83.99,0,10.91,0,0,0,8.18,0,5.88,0,0,0,0,0
 14-21,0,0,0,3.72,24.88,7.43,0,2.9,0,0,0,2.16,8.69,0,8.04,0,1.04,0,0,0,32.5,0,7.6,30.48,195.43,0,1.72,0,0,16.26,9.05,4.1,21.19,32.22,0,12.99,0,0
 24-34,0,0,0,4.08,10.75,2.35,0,13.26,0,1.04,0,4.62,0,0,24.33,0,0,0,0,0,71.38,0,41.69,72.57,49.5,0,0,0,0.74,0,10.95,0,2.74,26.13,0,116.21,0,0.62
 36-46,0,0,0,0,3.09,0,0,8.74,0,5.32,1.45,8.92,0,0,7.67,0,0,0,0,0,97.88,5.3,20.68,44.74,16.91,0,0,1.94,0.59,0,8.59,0,0,33.71,0,47.9,0,0
 48-58,0,0,0,0,2.38,0,0,6.26,0,1.7,2.93,14.7,0,0,5.36,0,0,0,0,0,76.77,6.01,11.31,26.38,25.27,0,0,0,0,0,6.67,0,0,17.26,0.49,25.97,0,0.79
 60-70,0,0,0,0,1.49,0,0,11.61,0,0,4.43,17.24,0,0,18.97,0,0,4.33,0,0,110.32,4.01,10.98,23.83,16.74,0,0,1.53,0,0,2.54,0,0,12.71,0.67,30.57,0,3.65
 72-82,0,0,4.23,0,1.26,0,0,13.23,0,0,3.28,27.39,4.68,0,9.32,0,0,0,2.49,0,113.75,12.6,6.81,19.04,10.28,0,0,2.75,0,0,6.89,0,0,4.36,0.78,57.55,2.1,0
 84-94,0,0,1.26,0,1.27,1,0,12.7,3.14,0,5.25,25.57,5.15,0,2.52,2.41,0,1.58,8.34,0,81.89,6.83,3.56,11.26,14.58,0,0,0,0,0,6.9,0,0,0.58,2.51,47.07,5.35,1.02
 96-106,1.12,0,3.44,0,1.58,5.31,0,15.78,0,0,0.71,33.32,14.64,0,5.19,0,0,0,4.57,0,74.63,6.8,4.77,29.77,7.2,8.46,0,5.49,3.5,0,5.03,0,0,5.05,0,41.84,2.37,1.36
108-118,0,0,8.2,0,0.89,1.59,3.18,20.17,0,0.43,0.43,32.64,24.91,0,0.86,0.42,0,0.73,21.15,0.51,80.46,9.69,5.79,35.17,19.69,2.42,0,0,1.41,0,9.22,0,0,10.85,5.36,52.53,5.67,3.65
120,0,0,11.54,0,1.34,0,0,14.21,0,1.16,0,25.37,39.83,0,13.95,3.85,1.12,0,7.81,0,68.42,22.33,2.74,42.56,50.87,0,0,9,4.52,0,13.9,0,0,0,0,75.97,4.69,0
