stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,16.62,575.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0
  5-6,32.46,419.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.41,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,3.93,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.25,0,0,0,25.57,0,0,5.15,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.21,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,103.18,0,0,0,6.27,0,0,4.37,0,4.43,0,0,0,0,0,0
 14-21,0,0,0,0,24.02,0.83,0,1.77,0,0,0,0,1.21,0,0,0,0.9,0,0,0,0,2.04,0,0,6.01,26.76,0,0,0,0,0,3.74,0,3.55,1.01,4.72,7.63,0,0,0,0
 24-34,0,0,0,2.23,10.89,0,0,2.74,0,1.38,0,0.69,0.71,0,0.69,1.21,2.96,0,0,4.08,0,11.01,0,0,2.02,52.93,0,2.72,3.69,0,0,29.16,0,0,1.75,1.93,8.36,0,0,1.97,1.63
 36-46,0,0,0.95,0,2.3,0,0,7.87,0,3.95,2.64,1.56,0,0,0,1.81,0,0,1.86,0,0.61,5.84,0,0,0,51.2,0,0,0.97,0,0,50.41,0,0,0,0,9.73,0,0,0,5.97
 48-58,0,0,0,0,5.7,0,0,23.22,0,1.87,0.85,14.09,0,0.48,0.58,0.64,0.49,0,0,0,8.28,9.71,0,0,0.42,49.32,0.8,0.48,7.57,0,0,13.95,0,0,0,0,13.99,0,0,2.93,0
 60-70,0,0,0,0,9.86,0,0,19.97,0,1.39,0,3.21,6.09,0,0,0.57,3.33,0,0,0,1.56,5.29,3.3,1.84,0,28.45,0,4.18,5.14,0,0.84,14.92,0,0,0.83,0,4.83,0,0,0.87,0
 72-82,0,0,2.85,0,7.91,0,0,29.69,0,2.44,0,12.64,2.48,0,0,5.38,2.42,3.26,6.84,0,2.69,15.38,7.5,0,0.78,66.22,0,2.36,3.18,0,0,27.22,0,0,0.49,0,2.76,2.25,1.43,7.32,4.67
 84-94,0,0,1.2,0,16.17,6.34,1.8,23.41,0,1.81,0.57,5.74,3.45,0,0,2.07,3.65,0,1.43,0.96,0,2.83,0.57,0,0.95,24.53,0,3.31,1.37,0,0,30.4,0,0,2.39,0,0.63,2.39,0,4.02,0.89
 96-106,0,0,3.56,0,10.98,0.99,2.72,18.03,1.06,4.26,0,12.43,11.7,0,0,11.05,2.99,0.71,5.23,0.7,0.68,18.53,1.49,0,0.96,37.02,0,9,5.29,0,1.44,52.94,0,0,1.47,0,2.6,0,0,7.18,0.86
108-118,0,0,2,0,28.76,2.94,22.86,26.05,0,1.71,0,2.76,10.07,0,0,7.87,7.95,2.53,1.39,5.19,0,10.88,3.93,0,0.86,24.86,0,1.26,4.74,0,0,32.57,0,0,1.69,0,0,1.14,1.06,2.3,0.51
120,0,0,0,0,20.73,1.46,2.12,22.37,0,6.32,5.27,28.86,7.97,0,0,19.99,2.06,0,1.11,1.28,0,8.72,0,0,0,23.27,0,22.41,1.76,0,0,32.84,0,0,2.25,0,0,2.31,0,0,0
