stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
 14-21,2.08,0.83,0,0,0,0,0,0,0.85,13.88,0,0,0.9,0,8.47,0
 24-34,0,0,0.6,0,0,0,0,2.02,0,13.97,1.24,0,0,1.73,2.54,0
 36-46,0,0,0,0,0,0,0,0,0.73,18.05,0,0,0,0,1.26,0
 48-58,0,0,7.04,0,0.56,0,0,0.82,0,33.78,0,0,0,0,3.17,0
 60-70,0,0,4.99,1.61,1.62,2.61,0,0.65,0,14.27,0,0,0,0,1.15,0
 72-82,0,0,4.21,0,0.7,0,0,1.39,0,21.39,0,0,0,0,12.01,0
 84-94,0,0,3.78,1.13,0,0.72,0,3.93,0,31.06,3.11,0,0,0,0.82,0
 96-106,0,0,9.66,0,0,1.17,3.95,2.28,0,11.97,0,1.59,0,0,0,1.07
108-118,1.42,0,1.47,0,0,6.08,0,0.98,0,6.03,0,0,0,0,0,0
120,0,0,4.51,0,0,7.67,0,0,0,5.2,0,0,0,0,0,0
