stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,48.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0
  5-6,111.11,283.83,0,0,0,0,0,0,0,0,0,0,0,0,0,207.24,0,0,0,28.35,36.47,0,0,0,0
  7-9,14.45,11.66,18.17,0,3.51,0,0,33.72,0,0,0,0,0,0,0,44.96,24.31,0,0,180.65,0,0,0,0,0
 10-12,0,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,51.85,0,0,11.08,0,0
 14-21,0,0,0,1.32,0,0,2.28,0,0,0,0,0,0,0,0.91,0.85,3.3,0,0,0,1.52,7.32,0,0.88,1.3
 24-34,0,0,0,0,0,2.1,0,0,0,0,0,1.16,0,0,0,29.78,0,0,0,0,0,0,3.7,0,9.19
 36-46,0,0,0,0,3.68,0,1.51,0,0,0.61,0,0,1.29,0,0,23.23,0,0,0,0,0.95,0,2.02,0,1.55
 48-58,0,0,0,0,6.54,0,0.68,0,0,3.43,0,0,0,0,0,29.11,0,0,0,0,4.79,0,1.53,0,1.32
 60-70,0,0,0,0,2.79,0,0.98,0,0,0,0,0,0,0,0,21.15,0,1.43,0,0,4.79,0,0.97,0,0
 72-82,0,0,0,0,3.39,1.27,1.56,0,0,0,0,0,0.68,0,0,8.76,0,0,0,0,5.55,0,0,0,0.92
 84-94,0,0,0,0.87,0,0,1.59,0,0,0.73,0,0,0.85,0,0,2.37,0,0,0.95,0,2.23,0,0,0,0
 96-106,0,0,0,0,1.02,0,4.74,0,0,1,0,0,0.61,0,0,18.62,0,0,1.28,0,2.86,0,0.7,0,3.09
108-118,0,0,0,1.74,3.82,0.52,0,0,0,0.46,0,0,0,0,0,23.35,0,0,0,0,0,0,1.86,0,3.71
120,0,0,0,0,2.69,0,8.1,0,1.43,18.12,1.74,0,0,8.17,0,6.29,0,10.68,0,0,1.43,0,0,0,0
