stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,50.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0
  5-6,8.02,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.64,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,17.14,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.01,21.68,0,0,19.97,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,0,9.47,18.65,0,0,0,1.18,1.61,0,0,1166.73,120.99,4.32,0,0,0,0,0
 24-34,0,0,0,0.59,0.81,0,0,1.49,10.33,0.71,0,0.59,0,0,0,0,0,0,0,0.73,0,12.98,0.93,0,55.57,88.32,0,0,1.31,0,3.73,1.55,2.84,1142,16.19,13.79,0,0,2.83,0,0
 36-46,0,0,0,0,0,0,0,10.64,3.81,0,0,4.37,0,0,0,0,0,0,0,0,0,2.99,0,0,31.94,46.38,0,0,0,0,4.5,0,0,1027.74,1.88,12.23,0,0,5.92,0,0
 48-58,0,0,0,0,3.48,0,0,24.74,19.86,0,0,8.86,0,0,0,5.22,0,0,0,0,9.53,7.86,0.47,0,30.18,82.39,0,0,0,0,0,0,0,730.33,0,17.48,0,0,0.8,0,17.11
 60-70,0,0,0,0,5.85,0,0,50.29,104.12,0,0,8.59,0,0,0,0,0,0,1.16,0,0,18.91,0,0,51.38,82.19,0,0,0,8.11,10.03,0,0,435.36,0,7,0,0,0,0,8.31
 72-82,0,0,0,0,6.25,4.67,0,44.25,120.19,6.12,0,18.92,0,0,0,0,0,0.69,1.94,0,0,19.02,0,0,48.85,89.99,0,0,0,5.63,2.35,0,0,253.9,0,0,0,0,3.31,0.64,0
 84-94,0,0,0,0,4.55,0.66,0,32.84,189.73,0.56,0,3.75,0.96,0,0,0,0,0,0,2.37,0,28.3,0,0,37.81,65.69,0,0,2.22,0,12.59,0,0,442.22,0,15.53,0,0,3.6,0,0
 96-106,0,0,0.56,0,7.33,18.06,0.63,59.6,245.08,2.53,1.63,19.11,0.6,0,3.1,1.62,0,0,2.42,0.8,0,42.48,0,0,55.11,137.92,0,0.59,1.96,6.02,13.8,0,0,450.94,0,3.11,0,1.15,6.54,2.99,5.2
108-118,0,0,0,0,0,1.73,0,27.38,244.25,1.13,0,14.48,0,0,0,3.79,0,0.89,0,4.56,0,9.56,0,3.6,49.41,66.29,0,1.58,0,0,2.53,0,0.42,365.04,0,3.44,1.19,1.44,0,0,0
120,0,0,0,0,11.64,0,0,37.44,148.27,0,0,10.1,3.45,0,0,0,1.4,4.74,0,0,0,31.41,0,0,70.87,107.32,0,0,6.72,0,2.65,3.36,0,125.24,0,3.82,0,0,0,0,0
