stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.53,0,0,0,0,0,0,0,0,29.63,0,10.19,0,0,0,0,0,0,0,0,0
 14-21,0,0.86,0,0.99,0,1.11,0,0,0,0,0,0,12.4,0,0,0,0.89,0,2.12,2.69,0,0,0,0
 24-34,0,2.16,0,5.47,0,0.94,0,0,1.29,1.84,0,6.39,23,1.07,0,0,0,0,0,6.83,0,3.93,0,2.44
 36-46,0,0.58,0,6.97,0,1.25,0,0,3.65,4.4,0,0,29.51,0.6,0,0,0,0,0,4.53,0,0.75,0,5.4
 48-58,0,2.63,0,10.34,0,2.25,0,0,0.54,2.32,0.53,0.81,31.4,0,0,0.38,0,0,0,4.2,0,0,0,1.05
 60-70,0,2.31,0,15.09,2.61,3.16,0,0,0,3.88,0,0.9,30.23,0,0,3.66,0,0,0,3.34,0.8,0,0,0
 72-82,0,1.04,0,23.46,0,1.43,0,0,0,3.98,0,0.76,21.7,7.39,0,0,0,0,0,1.36,0,2.51,1.62,3.43
 84-94,0,0,0,34.63,0,1.73,0,0,3.51,12.27,0,0,12.11,0,0,0,0,0,0,0,2.16,3.81,0,0
 96-106,0,0,2.01,6.48,0,3.39,0,0,0,2.17,0,0,8.31,0,0,0,0,0.64,0,0,0,0,0,9.32
108-118,0,0.72,2.1,2.37,0,4,4.79,0.65,0.47,1.71,1.13,0,18.32,0,0,0,0,0,0,0,0,0,0,4.78
120,0,1.5,0,0,0,0,0,0,0,0,0,0,19.96,0,0,0,0,0,0,12.38,0,0,0,0
