stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  3-4,43.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0,0,0,0,0,0,0
 10-12,29.71,0,8.75,0,0,13.71,0,0,0,0,0,0,0,0,0,0,516.41,0,0,0,9.94,0,0,0,0,0
 14-21,0,0,0,1.15,0,12.57,0,0,6.29,0,0,0,0,0.8,0,1.7,471.83,0.95,0,0,0,0,1.7,78.94,0,0
 24-34,0,0.67,0,2.4,0,8.56,0,0,10.84,0,0,0,0,0,0,0,595.56,0,3.61,0.68,0,0,0,128.97,1.23,0
 36-46,0,0.73,0,0,0,11.64,0,0,12.22,0,0,0,0,0,0,0,368.32,0,3.48,0,0,0,0,91.91,0,0
 48-58,0,2.06,0,3.23,0,14.72,0,0,24.36,0,0,0,0,4.14,0,1.18,456.2,0,3.05,0.39,0,0,0,71.12,0.77,0
 60-70,0,1.8,0,1.16,0,21.74,0,0,8.5,0,0,0,3.16,1.27,0,0,570.66,0,2.44,0,0,0,0,26.34,0,0
 72-82,0,6.16,0,0.71,3.33,65.48,0,0,8.35,2.51,0,1.61,0.5,2.27,0,1.23,739.4,0,1.21,1.57,0,0,0,18.97,0,0
 84-94,0,10.89,0,0,0,42.19,0,0,14.12,0,0,0,15.16,5.9,2.23,2.56,524.55,0,0,1.84,0,0.75,0,12.46,0,0
 96-106,0,8.67,0,0,9.48,58.88,0.72,0,16.72,0,0,10.33,5.48,0,0,2.41,475.1,0,0.6,2.78,0,0.76,0,30.67,0.68,2.71
108-118,0,11.27,0,3.68,1.19,93.25,0,0,11.31,1.7,0.82,0,10.4,4.5,3.6,0,720.81,0,0,1.15,0,0.64,0,13.19,3.96,0
120,0,21.22,0,6.21,0,114.23,0,4.21,4.86,1.24,0,0,8.74,7.61,0,0,1718.93,0,7.26,0,0,0,0,12.5,0,0
