stage,blastomeres,epidermis,fast_muscle,fin_epithelia,glial,ionocyte,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,somites
  5-6,17.96,0,0,0,0,0,0,0,0,18.15,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,6.62,13.22,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.21,9.12,0,5.3
 14-21,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.79,0.99,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.89,0,0.87,0
 48-58,0,0,0,0.4,0,0,0,0.48,0,0,0,0,0
 60-70,0,0,0.89,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.2,0,0,0
108-118,0,0,0,0,0.99,0.49,1.37,0,0,0,0,0,0
