stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.18,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.24,0,0,0,0,0,1.38,1.5,0,0,0,0,0,0,0,1.07,0,0,0,148.56,0.81,3.9,2.05,0,0,0,0,0,0,66.26,0,0,0,0,0
 24-34,0,2.16,0,5.55,0,11.29,0,0,0,10.72,0,1.22,0,0,0,0,0,0,5.98,2.47,0,0,1196.93,0.76,44.8,1.03,0,10.75,0,0.66,0,0.63,427.57,0,0,14.66,0,2.35
 36-46,0,0,0,3.86,0,70.67,0,2.79,0,19.95,0.61,1.45,0,0,0,0,0,0,14.25,2.15,0,1.92,2898.32,2.73,77.58,4.08,0,7.26,0,0,0,0,1006.76,0,0,6.44,0,0
 48-58,0,2.29,0,18.77,0,369.68,0,0,1.1,55.61,0,0.78,0,0.46,10.03,0,0,0,36.97,0,9.61,10.84,4798.56,0.62,36.51,0.69,0,4.22,0,0,1,0,1079.03,0,0,0.97,0,5.85
 60-70,0,0.62,0,16.6,0,1007.29,1.01,0.96,3.24,52.82,2.33,10.19,0,0,0.67,0.8,0,0,43.45,0,1.34,10.47,6899.5,0,38.53,0,0,7.46,0,0,0,0,1236.95,0,0,1.42,1.46,3
 72-82,0,6.66,0,18.25,9.52,1213,0,8.28,0.49,59.14,2.96,0,0,1.53,1.62,0.97,5.76,0,49.9,0,0.81,2.71,7292.88,0,61.29,1.96,0.71,14.95,0,0,0,0,939.15,1.21,1.04,3.96,2.57,0
 84-94,0,1.18,0,21.67,1.36,1025.56,4.02,0,1.6,77.82,2.2,1.72,1.88,3.3,8.25,0.69,0,0.98,44.48,0,5.09,1.54,4503.06,2.03,40.58,0,0,15.96,0,1.07,0,0,439.8,1.17,0.63,8.2,0,0
 96-106,0,4.57,0,40.59,4.87,801.58,0,0.59,1.44,88.28,2.74,0,3.32,0,5.59,0,21.14,0,66.13,1.15,3.7,4.12,4223.86,2.08,61.26,3.09,0,3.77,1.35,0,0,0,313.76,3.21,0.77,1.04,4.55,4.54
108-118,0,10.94,1.33,47.21,8.43,820.5,0.61,0,3.03,119.48,5,1.62,3.48,0,11.31,0,0,0,40.82,2.33,0.72,3.41,4162.32,0,56.07,3.69,2.83,2.22,0,0,0,0,255.1,6.51,0,9.24,1.86,1.55
120,0,4.37,0,85.36,2.99,1441.37,6.51,16.19,0,277.14,0,0,0,1.65,2.88,0,0,0,64.36,2.98,0,13.09,9175.98,5.58,46.28,1.28,0,6.83,0,0,1.63,0,506.41,0,0,19.25,3.69,0
