stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,206.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,118.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.81,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.24,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.53,0,0,0,11.19,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,2.39,0.83,0,0,0,0,0,0,0,0.97,0,0,0,0,0,2.07,0,0,0,0,2.66,12.44,0,0,0,0,0,3.67,2.19,0,0,5.23,5.35,0,0,0,0
 24-34,0,0,0.59,8.52,0,0,3.11,1.35,0,0,0,0,0.79,0,0,0,0,0,0,11.25,0,0,2.82,55.56,0.76,0.61,0,0,0,6.74,0,3.34,1.89,0.67,15.27,0,4.32,0,5.35
 36-46,0,0,0,3.81,0,0,17.67,3.77,1.06,0,1.59,0,0.72,0.81,0,0,0,0,12.77,10.14,0,0,1.82,122.1,0,3.05,0,0,0,3.4,0,0.58,26.58,0,13.9,0,0,0,3.48
 48-58,0,0,0,3.66,0,0,38.95,10.63,4.35,0,5.93,0.51,5.72,5.24,0,0,0.95,3.58,7.47,17.86,0,1.2,0.85,156.33,0,0,0.59,0,0,10.03,0,0.38,7.37,0,30.44,0.91,1.16,0,14.63
 60-70,0,0.57,0,1.73,0,0,81.71,2.8,0,0,34.84,2.49,0,14.41,0.86,0,1.41,3.05,0,27.75,0,0,3.47,158.58,1,1.02,0.69,0,0,11.8,0,0,0,0,62.73,1.19,0.64,0,6.9
 72-82,0,0,0,0.77,2.71,0,127.4,10.92,0.71,1.41,23.78,1.91,0,2.35,0,0,0.79,16.39,0.85,46.6,2.73,0,0,201.78,0,5.96,1.44,0,1.08,4.11,0,1.23,9.61,0,23.71,1.87,10.94,0,14.55
 84-94,0,0,0,4.05,8.34,0,118.37,4.25,0,0,18.9,3.79,0,12.47,1.47,3.05,0,69.57,12.52,28.71,0,0,5.03,134.41,0,2.27,8.4,0,0,20.53,0,1.64,8.71,0,8.26,3.36,5.8,1.16,0.88
 96-106,0,3.49,0,4.64,11.3,3.52,97.21,2.36,0.58,3.33,32.51,1.85,0,14.61,7.25,0,2.46,112.68,0,49.67,0,0.94,9.65,150.61,0.57,3.08,3,0,1.6,15.65,0,3.3,10.33,0,7.47,2.45,9.36,1.71,5.36
108-118,0,0.85,0,5.91,0.43,4.67,142.73,0.46,0,4.98,32.81,4.1,0,32.04,5.2,1.73,1.89,344.41,2.61,37.28,3.15,3.02,5.85,210.9,0.43,0,17.4,0,0,15.18,0,1.47,10.44,0,4.22,0.99,7.25,0.97,9.01
120,0,2.94,0,9.09,0,0,62.43,13.02,6.56,0,61.93,8.13,0,18.72,0,0,0,134.63,0,37.52,0,0,4.97,204.14,0,0,6.79,0,0,5.26,0,4.3,3.28,0,8.83,0,0,14.71,0
