stage,glial,neural,olfactory,paraxial.mesoderm,pronephros,spinal.cord
  7-9,0,0,0,4.95,0,0
 14-21,0,0,0,0,0.82,2.18
 24-34,0.67,0,2.02,0,0,0
 36-46,0,0.81,0,0,0,1.83
 48-58,0,0,1.1,0,0,1.87
 60-70,0,2.61,0,0,0,0
 96-106,2.71,0,0,0,0,0
108-118,0,0,0,0,0,1.9
120,0,0,0,0,0,11.17
