stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,20.74,701.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1,0,0,0,0,0,0,0
  5-6,0,321.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,0,20.83,0,0,0,0,0,0,0,0
  7-9,4.65,10.21,0,19.59,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,156.76,3.24,0,0,53.14,0,7.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.38,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0.96,0,0,0,2.7,1.23,0,2.28,0,0,0,0.85,0,0,0,0,0
 24-34,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0.64,4.7,0,0.62,0,0,0,1.08,608.55,0.67,0,4.01,0,0,0,0,2.34,0,0,7.3,0
 36-46,0,0,0,0,0.66,0,0,3.85,0,0,0,0.98,0,0,0,0,13.03,0,0,0,0,0,0,1280.68,0,0,1.44,0,0,0,0,2.85,0,0,0,0
 48-58,0,0,0,0,0,0,0,13.09,0,0,0,0.71,0,0,0,0,0.38,6.87,0,0.44,0.46,0,0,511.59,0,0,1,0,3.03,0,0,4.21,0,0,0,5.63
 60-70,0,0,0,0,0.85,0,0,89.63,0,0,1.66,2.17,0.91,0,0.75,0.66,0,0,0,27.63,0,1.4,1.31,944.33,0,0,0,0,0,0,0,1.99,0,24.41,0.86,0
 72-82,0,0,0,0,0,0,0,29.16,0,0,0,15.65,1.78,0,0,0.98,0,0,0,1.44,0.55,0,0.54,1087.69,0,0,0.76,0,1.3,0,0,0,0,26.4,0,0
 84-94,0,0,0,0,5.92,2.12,0,16.96,0,0,0,0,9.3,0,0,0.67,0,0,0,2.15,0,0,0,885.73,0,4.75,2.15,0,2.37,0,0,0,0,2.16,0,0
 96-106,0,0,0,0,1.7,0,0,13.88,0,0,0,29.75,5.92,0,0.78,0.94,0,0,0,0.8,1.49,0,0,501.91,0,0,0,0,0,0,0,0,1.57,32.25,0,0
108-118,0,0,0,0,10.36,0,0.92,22.64,0,0.75,0,9.25,3.5,0,0,0.49,0.93,0,0,0.91,0.43,0,1.1,574.86,0,0,2.42,0,1.59,0,0,0,0,0.56,0,0
120,0,0,3.64,0,2.81,0,0,7.84,4.77,0,0,0,16.4,0,0,0,0,0,0,0,0,1.45,0,1383.35,0,0,0,0,0,0,0,0,0,0,0,0
