stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
  3-4,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,11.81,3.95,0,0,0,0,0,0,0,0
 10-12,0,14.29,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,0,0,0,0,0,0,0,0,0,2.32,0.97,0,0,0,0,13.11,4.34,2.49,0
 24-34,0,0,12.82,0,10.77,10.24,0,0,0,0,2.77,0,21.31,10.77,0,1.41,0,1.28,0,0,22.3,1.95,0
 36-46,0,0,0,0,0,25.78,0,0.73,0,0,1.46,0,6.46,18,2.73,10.26,0,0,0.81,1.48,0,5.06,0
 48-58,0,0,0,0,3.05,24.22,0,0,0.49,0.5,1.24,0,1.44,10.53,0,0,0.48,0,0,0,0,3.84,0
 60-70,0,0,0,0,17.56,5.05,0,0,0,0,3.14,11.08,3.26,6.88,0,0,0,0,0,0,0,0,1.31
 72-82,0,0,0,0,21.82,0,0,0.89,0,0,0.86,0,0.51,0.84,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.02,0,13.15,2.96,0.62,0,0,0,0,0,0,0,0,0,0.88,0.75,0,0,0,0,0
 96-106,0,0,0,0,16.47,2.55,0,0,0,0,1.69,0,0.58,3.54,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.25,9.26,2.85,0,0.99,0,0,0,0,0.53,0,0,0,0,6.55,0,0,0,0,2.34
120,0,0,0,0,6.09,1.26,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0
