stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.94,1.73,0,0,0,0,1.24,0,0,0,0,0,0,0.9,21.72,0,0,0,0,0.9,6.83,4.32,0,0,0,0
 24-34,0,0.76,3.07,0,1.89,0,0,0,0,0.67,0.68,0,0,5.58,0,0.92,62.55,0,2.25,0,2.16,0,0.65,20.33,0,0,0,0
 36-46,0.98,0,1.82,0,0,0,0,0,1.44,0,0,0,0,5.14,0,1.22,97.59,0,0.7,0,5.15,0,0,21.05,0,8.72,0,0
 48-58,0.54,0,0.66,0,3.31,0.71,0,3.39,1.83,0,0,0.5,0,3.63,0,0.38,164.79,1.24,3.3,0,12.9,0,0.9,17.74,0,0,0,4.53
 60-70,0,0,0,0,67.13,3.88,1.01,2.54,17.47,0,0,0.63,0,6.2,0.62,0.58,311.95,0,2.49,0,5.56,0,2.16,17.07,0,0,0,0
 72-82,0.74,0,0,0,68.1,0.58,0,0,12.26,1.71,0,0,0,11.62,1.57,0,371.37,0,6.95,0,0.77,0,1.69,27.97,0,0,1.44,0
 84-94,0,0,0,0.6,46.66,8.09,0.56,6.53,7.65,1.31,0,0,0,13.04,0,0,284.97,0,0,0,1.2,0,0,20.87,0,0.84,0,0
 96-106,0,0,2.93,0,96.09,1.74,0,2.44,13.79,6.48,0,0,4.97,18.84,6.61,1.24,267.47,0,2.5,4.02,5.41,0,1.8,1.02,0,7.77,0,0
108-118,0,0,6.6,0,88.67,1.62,3.8,0.43,12.21,1.37,0,0,0,22.75,8.24,0.91,317.9,0,2.88,0,1.78,0,0.43,8.46,0,0,0,0
120,0,0,1.09,0,33.12,4.93,2.56,0,22.13,17.98,0,0,0,3.73,1.31,0,533.71,0,2.49,0,0,0,0,13.08,10.18,0,0,0
