stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.54,0,0,0,20.85,0,0,0,0,4.16,0,2.63,0,0,0,0,0,0,1.78,0,0,0,45.21
 24-34,0.61,0,0.63,0,0,0,70.36,0,0,0,1.09,5.84,1.79,6.85,2.28,0,0,0,0,1.31,2.39,0,0,0,146.05
 36-46,0,0,0,0,0,0,163.65,0,0,0,3.99,10.5,1.12,11.26,2.08,0,0,0,0,1.36,6.19,0,0,0,262.67
 48-58,4.16,0,12.1,0,2.41,0,218.89,24.44,0,0,5.82,5.46,0,25.17,0,0,0,0,0.4,0,4.35,0.44,0,0,445.24
 60-70,0.66,0,10.06,0,0.9,0,326.47,8.99,0,0,0,2.71,0,18.05,0,0,0,1.13,2.81,0,1.22,0,0,0,541.46
 72-82,0,0.95,18.23,1.78,0.91,0,234.87,0,0,0,0,4.77,1.23,23.37,7.76,0,0,0,0,0,0,0,0,1.49,592.87
 84-94,0,13.81,42.8,0,0,0,341.79,4.71,0,0,1.82,7.27,1.68,9.91,0,0,0,2.02,0,0,0,0,8.39,0,558.58
 96-106,0.62,0,31.36,0,3.18,0,332.27,0.92,1.83,0,0.6,0.58,0,19.85,0,0,0,2.95,2.08,0,0,0,0.69,0.61,519.14
108-118,0.66,2.24,13.34,0,2.18,0,349.3,10.93,0,4.66,0,7.9,0.7,22.21,0,1.43,2.46,0,0.96,0,8.04,0,0.89,0,812.14
120,0,0,7.59,0,18.45,1.26,549.75,0,0,0,0,6.22,0,28.95,0,0,0,0,0,1.21,0,0,0,0,255.63
