stage,endocrine.pancreas,endoderm,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,0,0,0,0,0
  7-9,0,144.96,0,4.88,0,0,0,0,6.11,0,0,0,0,0,0,0,0,112.41,8.16,0,0,0,0,0,0,0
 10-12,0,145.24,8.31,6.25,0,0,0,0,3.5,0,0,0,0,0,0,0,0,47.06,0,9.02,0,0,0,0,0,0
 14-21,0,0,1.65,0,0,0,0,0,0,0,5.46,0,0,43.91,0,0,0,1.89,0,0,0,0,0,0,0,0
 24-34,0.9,0,0.79,0,0,0,0,0,0,0,9.96,0,0,50.86,0,0.64,0,3.09,0,0,0,0,0.72,0,1,0
 36-46,0,0,0,0,0,0,0,0,0,0,11.99,0,0,14.11,0,0,0,7.47,0,0,0,0.78,0,0,0.91,0
 48-58,0,0,1.27,0,0.89,0,0.52,0,0,0,37.98,0,0,12.55,0,0,0,3.26,0,0,0.91,0,1.46,0,2.23,0
 60-70,0,0,5.87,0,0,0,0,1.7,0,0,27.38,0.71,0,0,9.51,0,0,1.01,0,0,1.85,0,0,0,5.28,0
 72-82,0,0,3.69,0,0,0,0,0,0,0,55.07,0,0.68,8.59,10.68,0,0.87,13.79,0,0,1.41,0,0,0.91,3.45,0
 84-94,0,0,3.15,0.86,0,0,0,0,0,0,66.07,0,0,0,11.02,0,0,0,0,0,4.32,0.61,0,0,2.99,1.02
 96-106,0,0,10.91,0,0,0,0,0.74,0,0,90.07,0,0,4.41,23.22,0,0,13.53,0,0,9.58,0,0,0,9.24,2.78
108-118,0,0.64,8.55,1.5,0,1.6,0,1.31,0,0.56,118.02,0,0,8.54,0,0,0.46,21.63,0,0,2.37,0,0,0,3.92,0
120,0,1.66,13.96,9.71,0,0,0,0,0,0,206.19,0,1.15,16.08,6.99,0,0,0,0,0,9.36,0,0,0,6.45,0
