stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,57.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.73,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.91,0,0,0,94.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.02,0,20.17,0,0,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.31,0,0,0,144.98,0,0,0,0,13.72,0,6.84,0,0,0,0,0,0
 14-21,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,8.35,0,0,0,0,0,0,0,34.16,0,3.8,25.12,3.09,0,0,0,0,0
 24-34,0,3.79,0,10.32,0,0,0,0,0.61,0,0.74,0,0.6,0,0,0,0,2.16,0,0,2.44,52.53,0,0.78,0,0,0,1.69,0,0,0,0,15.14,4.46,0,0,0,0,0
 36-46,0,2.87,0,25.21,0,0,0,6.64,4.03,2.47,0,0,0,0.88,0,0,0.71,9.33,0,0,2.15,136.15,0.6,8,0,0,0,3.13,0,0,0,1.32,0,10.07,0,0,0,0,0
 48-58,0,9.51,0,3.07,0,15.9,0,0,1.59,11.37,0,0,0,3.42,2.35,4.18,0.83,36.41,0,0,2.68,217.76,0.47,0,0,0,0,11.22,0,0,0,0,0,84.58,0,0,0,0,1.32
 60-70,0,3.09,0,8.72,0,51.69,0,1.57,0,4.76,0,0,0,3.65,0,3.34,0,62.94,0,0,7.52,181.99,0.86,0,0,0,0,1.25,0,0,0,0,0,138.8,0,0.67,0.96,0,0
 72-82,0,1.9,0,38.23,2.08,81.59,1.33,0,0.67,9.36,0.93,0.9,0,1.61,1.9,27.41,0,142.88,0,0.78,16.03,307.01,0,1.46,0,0,2.81,1.15,1.65,0,0,0,0,81.14,0,0,0,1.08,16.47
 84-94,0,3.7,0,15.34,0,27.53,0,0,2.76,7.19,0.73,0,0,0,0.67,74.89,0,115.28,0,0,1.92,178.7,0.56,12.73,0.59,0,0,0.59,0,0,0,0,0,24.98,3.74,0,0,0,0
 96-106,0,4.99,0,27.03,0,35.7,0,0.61,2.04,14.15,0.58,0,0,0,0.75,193.9,0,102.3,3.8,2.34,2.14,151.08,0.58,1.66,1.59,0,0,3.82,11.61,0,4.49,0,0,23.97,1.16,2.27,2.36,6.43,0
108-118,0,0,0,5.24,1.41,43.05,0,0,1.88,10.99,0,0.56,0,1.56,1.56,361.49,0.47,94.87,2.76,5.54,5.11,251.33,0.46,0,0,0,2.26,1.63,0,0,3.53,0.86,0,23.66,0,4.23,2,0,0
120,0,0,0,29.76,0,30.24,0,0,1.29,6.77,0,0,0,0,2.39,127.77,0,101.3,0,12.93,9.01,265.3,0,0,0,0,13.5,1.77,0,0,0,0,0,9.31,1.99,0,0,17.64,0
