stage,blastomeres,epidermis,eye,glial,hatching.gland,lateral.line,mesenchyme,neural,notochord,olfactory,otic,pgc,pronephros,spinal.cord,visceral.smooth.muscle
  7-9,6.31,0,6.62,0,7.25,0,0,6.88,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0
 14-21,0,0,0,0,0,0,0,3.17,1.77,0,0.8,0,5.76,0,0
 24-34,0,0,0,0,0,0,0,4.22,0,1.74,0.65,0,1,1.59,0
 36-46,0,0,0,0,0,0,2.21,8.97,0,0.7,0,0,0.72,0.78,0
 48-58,0,0,0.67,1.41,0,0.4,0.45,6.19,0,10.23,0.8,0,1.07,0,0
 60-70,0,0,4.08,2.37,0,1,0,1.36,0,7.91,6.27,0,0,0,0
 72-82,0,2.11,6.63,0,0,1.33,1.83,3.45,0,4.67,7.43,0,1.43,0,0
 84-94,0,0,0.71,0,0,2.8,1,10.3,0,10.25,5.24,0,3.8,8.78,0
 96-106,0,0,9.96,0.88,0,8.28,0,5.65,0,16.43,15.95,0,1.1,0,1.5
108-118,0,0,0,0,0,3.44,2.31,7.08,0,4.84,7.73,0,2.63,4.29,0
120,0,0,0,0,0,4.41,0,2.96,0,30.3,23.52,0,4.05,0,0
