stage,axial,blastomeres,endoderm,hatching.gland,neural,notochord,paraxial.mesoderm,periderm
  3-4,0,22.76,0,0,0,0,0,0
  5-6,50.11,200.77,0,0,0,0,0,28.17
  7-9,21.24,0,3.54,9.84,60.9,38.97,16.47,0
 10-12,0,0,6.52,10.78,33.22,3.67,14.27,0
