stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,15.87,123.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0,0,0
  5-6,0,104.49,0,0,0,0,0,0,0,0,0,0,0,29.31,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,4.39,0,0,0,0,0,0,0,0,0,0,0,153.06,0,0,0,36.07,0,3.47,0,0,0,0,0,0,0
 10-12,0,3.59,0,0,0,4.33,0,0,0,0,0,0,0,136.61,3.27,0,0,84.53,0,0,3.57,6.11,0,0,0,0,0
 14-21,0,0,0,0.85,1.04,0,0,0.85,7.42,0,0.82,0,0,9.61,0,1.55,0,0,6.45,0,0,0.84,0.88,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,6.55,0,0,0,0,10.7,0,0.77,0,0,1.36,0,0,2.04,0,0.75,0,0,0
 36-46,0,0,0,0,0,0,0.76,0,41.1,0,1.99,0,0,7.25,0,1.54,0.57,0,0,0,0,3.13,0,3.26,0,0,0
 48-58,0,0,0,0,0,0,1.11,0,54.25,0,0,0,0,3.73,0.51,0.97,0.37,0,1,0,0,0,0,1.26,0,5.16,3.98
 60-70,0,0,0,0,0,0,0,0,44.94,0,0,0,0,3.57,0,1.27,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.57,2.04,0,1.67,0,0,28.45,0,1.6,0,0,4.86,2.6,2.28,0,0,0,0,0,0,0,2.01,0.74,0.77,3.58
 84-94,0,0,0,1.73,0,0,1.48,0,49.39,0,0,1.94,0.67,0,0,1.96,0,0,0,0,0,0,0,0,0,0.74,0
 96-106,0,0,0,1.67,0.8,0.62,0,0,42.58,0.63,1.44,0,0,7.21,0,1.48,0,0,0.72,0,0,0,0,4.01,0,0.76,0
108-118,0,0,0,0,0,0,3.26,0.53,38.9,3.04,0.49,0.92,0,4.43,0,2.82,0,0,0.58,0,0,0,0,0,0,1.76,0
120,0,0,0,4.24,0,0,0,0,49.08,3.18,0,0,0,1.35,0,4.83,5.62,0,0,0,0,5.04,0,1.34,0,1.05,0
