stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,spinal.cord
  3-4,27.62,0,0,0,0,0,0,0,0,0,0
  5-6,7.44,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,0,0,0,0,3.95,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.63,0
 14-21,0,0,0,0,0,0,2.72,0,0,0,0
 24-34,0,0,0,0,0,0,22.01,0,1.01,0,5.35
 36-46,0,0,0,2.01,0,0,59.98,0.56,1.82,0,7.74
 48-58,0,0,0,2.4,0,0,61.67,0,7.03,0,5.6
 60-70,0,0,0,12.85,0,0.71,79.47,0,0.98,0,18.32
 72-82,0,0,0,29.63,1.28,0.87,73.88,0,4.15,0,10.71
 84-94,0,0,0,14.08,3.44,0,65.16,0,2.26,0,2.26
 96-106,0,0,0,45.02,3.16,9.17,47.59,0,2.72,0,10.64
108-118,0,1.41,10.72,64.56,0.66,0,96.39,0,2.95,0,1.03
120,0,4.24,0,22.65,0,0,122.43,0,2.34,0,0
