stage,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.66,0,3.1,0,0,0,5.97,0,4.56,0,0.98,3.09,0,0,0,0,0,10.19,0,0,5.08,0,0
 36-46,0,0,0.76,0,0,0,4.06,0,8.72,0,0.87,12.07,0,0,0,0,0,5.55,0,0,4.53,0,0
 48-58,0,0,0,0.54,0,0.47,33.27,0,17.28,0,0.88,1.88,0,2.37,0,0,0,22.79,0,0,8.96,0,0
 60-70,0,0,0,0,0,5.52,47.27,6.1,41.64,0,0,1.93,0,0,0,0,0,0.74,0,0,6.5,0,0
 72-82,0,0,1.09,0.94,0,0,29.55,2.21,43.67,0,2.6,4.08,0,2.51,0,0,0,4.08,0,0.75,27.18,0.91,0
 84-94,0,0,3.97,0,0,1,42.65,5.39,41.76,2.78,0,3.37,0,3.97,0,0,0,4.76,0,0,17.25,0,0
 96-106,0,0,1.46,1.41,0,5.26,38.19,5.27,56.03,1.32,0,4.45,0,0.63,0,0,0,10.6,0,0,21.18,1.67,7.02
108-118,1.82,0,15.65,1.47,0.51,0.43,41.03,3.31,68.51,0,0.59,3.82,0,2.33,0,6.74,0.53,7.25,0,0,16.27,0,1.39
120,4,11.51,0,4.04,0,1.54,216.98,20.63,189.06,55.68,0,25.91,3.25,3.26,0,0,0,0,1.37,0,42.11,0,4.96
