stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.45,0,0,0,3.71,19.16,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.21,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0
 14-21,0,4.37,0,0.97,5.19,0,0,0,0,5.14,0,0,0,0,0,0,0,0,0,0,0,0,60.65,0,1.74,0,0,1.02,0,0,0.81,50.53,0,0,0.83,0,0
 24-34,0,0,0,3.12,0,6.7,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,1.57,599.2,0.6,25.06,0,0,0,1.04,0,0,146.6,0,0,3.54,0,0
 36-46,0,0,0,3.27,0,37.63,0,1.39,0.8,5.57,1.03,1.56,0,0,0,0,0,0,5.1,0,0,0.67,1357.21,0.72,37.08,0.65,0,0.75,0,0,0,312.54,0,0,2.14,0,0
 48-58,0,0,0,2.61,0,176.31,0.84,0,0.85,41.24,0,0.82,0.47,0,0,0,0,0,17.14,0,0,1.18,2042.25,1.41,23.47,1.22,0,5.69,0,0,0,266.32,0,0,6.69,0,5.45
 60-70,0,0,0,12.53,0,449.35,0,3.13,0,29.22,0,0,0,0,0,0,0,10.67,19.9,0,7.89,0,3162.79,0.83,22.27,0.63,0,3.67,0,0,0,290.86,0,0,15.03,0,0
 72-82,0,4.46,0,2.82,6.9,714.3,0,0,0,38.83,1.87,0.58,0,0,0,0.79,0,4.81,32.76,0,0,1.61,3144.47,0,17.89,4.4,0,0,8.03,0,0,150.36,0,0,0.51,1.77,6.63
 84-94,0,3.5,0,7.25,0,539.14,0.82,5.41,0,31.14,3.46,0,0,0,0,0,0,0,39.89,2.13,5,1.13,2341.9,0,21.76,2.42,0,3.07,0,0,0,146.5,1.63,4.46,11.99,1.59,6.95
 96-106,0,3.85,0,15.47,8.4,465.69,0,0,0,39.07,0,0.73,2.03,1.72,0,0,0,0,23.15,0,1.02,0,2123.72,0,32.73,2,0,2.78,0,0,0,52.37,0,0,0,0,8.09
108-118,0,4.3,0.74,14.08,2.06,498.13,0.56,0,0.5,35.17,2.79,0,0.82,0.93,5.82,0,1.52,0,30.95,0,1.83,0,1902.37,0,27.08,1.68,0,2.94,0,0.61,0,43,1.4,0.57,5.89,1.6,2.2
120,0,2.59,0,16.83,19.11,803.71,0,0,12.74,47.12,0,2.27,0,0,0,4.83,0,0,47.59,0,0,5.16,3735.87,0,57.23,0,0,2.98,0,0,0,42.65,0,0,0,0,0
