stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.48,12.2,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,257.06,91.59,0,751.19,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.95,221.49,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836.64,117.25,0,1503.55,0,11.19,0,243.68,0,5.96,0,0,0,0,0
 14-21,0,0,6.8,63.1,11.14,0,3.48,0,1.44,0,15.32,6.83,0,0,0,0,0,0.84,0,0,21.53,0,0,45.73,109.64,74.71,0,9.82,0,2.06,78.09,2.22,3.43,37.02,254.17,0,12.32,0,0
 24-34,0,0,0,26.12,0,0,3.05,0,1.2,0.76,23.16,1.55,0,0,0,0,0,4.5,0,0.94,72.16,0,0,60.16,106.27,2.32,0,0,0,19.88,0,0,0,9.59,311.41,0,13,0,0
 36-46,0,0,0,9.58,0,0,1.29,0.94,5.85,0,13.31,0,0,0,0,0,0,1.49,0,0,85.12,0,0,42.86,144.91,7.74,0,0,0,29.35,0,0,8.66,0,390.26,4.1,1.67,0,2.66
 48-58,0,0,0,13.45,0,0,12.22,0,12.96,2.01,8.97,0,0,0.56,0,0,0,1.73,0,6.42,125.5,1.73,3.53,33.92,305.01,0.58,0,0,0,12.75,0,0,3.09,0,352.73,0,3.82,0,0.66
 60-70,0,0,0,16.81,0,0,12.53,0.58,3.53,3.76,22.96,11.13,0,0,0,0,0,0,0,3.94,117.59,0,3.42,33.8,391.95,3.25,0,0,0,15.26,0,0,1.3,0,339.34,8.11,0,2.04,0.99
 72-82,0,0,0,21.41,0.67,0,16.31,0,2.06,0.67,15.64,0.82,0,0,0,0,2.9,2.42,0,0.49,171.49,0,12.18,39.8,314.15,0,0,0,3.06,10.1,0,0,0,0,184.72,18.04,2.91,8.41,0
 84-94,0,0,0,27.95,0,0,13.39,0,17.4,5.36,17.2,0.97,0,0,2.82,0.86,2.21,0.73,1.81,2.48,126.19,0,6.4,24.51,186.21,0.65,2.01,0,0,18.72,0,0,0,0,132.28,24.6,0,9.94,0
 96-106,0,0,0,16.19,0,0,11.63,0,4.32,0.72,20.39,0,0,2.51,0,1.54,0,2.41,1.03,0,127.39,0,13.09,21.37,170.97,0.62,0,0,6.2,17.63,0,0,0,0,73.75,17.07,0,1,2.39
108-118,0,0,0,14.22,0.6,0.47,7.75,0,9.23,7.25,10.68,0.67,0,0,1.48,0.84,0.41,0,0,0,141.38,0,10.35,19.05,195.96,0.55,0,0,2.53,10.9,0,0,0,0,49.78,16.22,8.7,3.57,2.24
120,0,0,0,16.05,0,0,10.89,0,20.53,0,2.51,0,0,0,0,0,0,0,0,0,73.95,0,28.13,11.06,77.99,2.32,0,0,0,22.37,0,0,0,0,61.6,11.62,0,8.41,10.22
