stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,46.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.86,0,0,0,0,0,0,0,0,0
  7-9,4.13,4.85,7.64,0,0,7.49,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,68.25,0,0,0,13.41,0,411.37,9.95,0,0,0,0,0,0,0,0
 10-12,0,0,18.6,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.47,9.32,0,0,48.95,0,173.38,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,34.79,5.39,1.02,0,0,0,1.39,0,0,1.07,0,0.81,0,0,0,5.38,0,0.88,25.61,0,0,0,0.94,0,956.8,0,2.08,0,2.63,4.22,0,0,3.62,0
 24-34,0,0,0,84.94,0,5.51,0,9.09,0,0,0,0,5.07,0,15.25,0,0,6.98,6.84,0,2.66,65.56,5.32,3.92,0,0,0,895.9,0,0,0,0,9.3,0,0,0.99,0
 36-46,0,0,0,63.9,0,3.61,0,26.53,0.82,3.64,0.72,0,0,0,27.87,0.91,0,0.58,4.56,0,4.42,32.29,0,3.82,0,0,0,1119.52,0,0,0.89,0,6.24,0,0,0,0
 48-58,0,0,0,61.62,0,14.07,0,38.11,0,5.24,0.44,0,0,0.37,9.81,0,0.6,1.79,8.32,0,1.51,55.35,0,8.35,0,0,0.39,1044.47,0,0,0,0,2.77,0,0,0,7.65
 60-70,0,0,0,80.56,0,17.81,1.33,33.83,0.91,0,0,0,0,0,24.77,0,0,4.52,6.72,0,1.01,41.32,0,11.18,0,0,0,866.58,0,0,0,0,9.24,0,0,0,0
 72-82,0,0,0,57.38,0,16.02,0,20.72,1.47,4.24,1.76,0,0,0,14.09,0,0,9.59,15.76,0,0.54,25.2,0,14.56,0.76,0,0,735.56,0,0,0,0,0.84,0,2,0.96,0
 84-94,0,0,0,125.31,0,22.51,0,44.9,0,0.96,1.57,0,0,0,38,0,0,1.65,24.72,0,0,21.01,0.62,31.97,0,0,0,1595.68,0,0,0,0,0,1,0,1.29,0
 96-106,0,0,0,183.4,5.88,36.14,0,55.87,9.66,6.41,3.36,0,0,0,71.89,2.76,4.79,23.07,40.58,0,0.9,71.13,0,51.94,4.03,0,0,1508.38,0,0,0,0,0,2.8,8.32,0,0
108-118,0,0,0,160.75,0.42,18.95,0,65.35,0,1.27,4.18,0,0,1.13,70.65,1.43,0,19.03,30.65,2.56,0.7,37.17,0,29.87,2.6,0,0,1252.32,0,0,0,0,1.09,1.41,0,3.65,0
120,0,0,0,90.61,0,4.08,0,34.94,0,0,0,0,0,0,23.49,0,0,12.15,7.99,0,0,50.14,0,23.37,0,0,0,666.35,0,0,1.22,0,2.39,0,0,0,0
