stage,erythrocytes,eye,immune,ionocyte,lateral_line,mesenchyme,neural,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0.9,0,0,0,0,0,0,0,5.12
 24-34,0,0,2.63,0,0,0,0,0,0,0,0
 36-46,0,0,22.67,0,0.66,0,0,0,2.86,1.13,1.43
 48-58,0,0,52.24,0,0,0,8.56,0.43,0,0,7.69
 60-70,0,0,63.98,0,0,0,0,0,0.79,0,8.91
 72-82,0,0,25.64,0,0,0,0,0,0,0,5.39
 84-94,0.57,0,65.8,0,0,0,8.48,0,0,0,5.75
 96-106,2.68,7.97,94.57,0.58,0,4.77,1.36,2.44,2.89,0,11.51
108-118,0,0,63.02,0,0,0.94,2.86,0,0,0,6.74
120,0,0,114.02,0,0,0,0,0,0,0,44.19
