stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord
  3-4,0,45.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.93,26.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.76,0,0,0,0,0,0,0,12.97,0,0,10.71,0,0,0,0
 10-12,0,0,0,0,0,4.64,0,0,16.18,0,0,19.7,0,0,0,0
 14-21,0,0,0.88,2.23,0,0,0,0,0.94,0,0,0,4.35,0.86,3.08,2.57
 24-34,0,0,0,0.77,0,0.67,0,0,14.17,0,0,0,0,0,0,1.61
 36-46,0,0,0,0,0,1.19,0,2.03,16.7,0,0,0,0,0,0,7.94
 48-58,0,0,0,0,0,1,2.57,0.49,6.97,1.16,0,0,0,0,0,0.94
 60-70,0,0,0,0,0,0.75,0,0,4.54,0,0,0,0,0,0,1.64
 72-82,0,0,0,0,0,0.49,0,0.73,15.63,0,0,0,0,0,0,0.89
 84-94,0,0,0,0.86,8.92,3.9,0,0,0.58,0,5.25,0,0,0,0,0
 96-106,0,0,0,0,0,1.97,0,0.67,2.28,0,0,0,0,0,0,0
108-118,0,0,0.74,0,0.59,1.23,0,0,4.94,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0
