stage,axial,blastomeres,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pronephros,slow_muscle,spinal_cord,visceral_smooth_muscle
  3-4,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.17,21.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.43,15.07,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,6.22,0,1.23,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.91,2.4,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,37.9,0,0.93,1.69,0,0,0,0,0
 48-58,0,0,0,1.73,0,0,0,2.61,95.58,0,4.81,10.43,0,0,0,4.26,0
 60-70,0,0,0,5.95,0,0,0,0,149.92,0,15.96,16.61,0,0,0,3.86,0
 72-82,0,0,0,6.54,0,1.44,0,0,147.15,0,10.48,17.01,0,0,0,0,0
 84-94,0,0,0,13.31,0,0,1.73,0,152.03,0,20.12,10.98,0,0,0,0,0
 96-106,0,0,0,4.38,0,4.94,0,0,135.67,1.7,24.7,13.4,0,0,0,0,0.8
108-118,0,0,0,12.56,1.13,4.06,0,0,232.35,0,8.8,17.88,0,0.81,0.53,0,0
120,0,0,7.49,0,0,0,0,0,163.16,0,1.9,7.25,0,0,0,0,0
