stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.07,0,0,0,0.84,3.9,0,1.3,0,0,0,2.52,2.58,0
 24-34,0.7,1.69,0,0,0,0,0,0,0,1.55,11.08,0.63,0,0,0,0,0,2.43,0
 36-46,0,2.08,0,0,0.82,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0
 48-58,0,10.44,0.81,0,0,0,0,0,0.99,0,30.45,0,0,0,0,0,0,7.37,0
 60-70,0,11.17,0,0,0,0,0,0,1.66,0,8.23,0,0,0,0,2.72,0,1.76,0
 72-82,0,1.95,0,0,1.83,0,0,1,0.83,0.53,10.51,0,0,0,0,0,0,3.55,0
 84-94,0,7.09,0,0,0,0.6,1.21,0,1.01,0,14.63,0,0,0,0.63,0,0,6.74,0
 96-106,0,11.26,1.45,2.34,7.63,0,0,0,0,0,9.52,0.6,0,0,0.83,0,0,0,0
108-118,0.43,1.11,0,0,0,0,0,0,0,0,5.72,0,0,0,0,0,0,0,2.01
120,0,2.61,0,0,0,0,0,0,0,0,10.37,0,0,11.51,0,0,0,0,0
