stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,4.18,0,0,0.83,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,83.37,1.57,0,0,0,0,0,0,0,25.7,0,0,0,0,0
 24-34,1.85,0,0,0,0,1.43,0,0,0,1.57,1.74,0,1.18,0,0,0,0,0,0,14.8,0,0,0.78,639.2,0,2.25,1.95,0,0,0,2.65,0,221.23,0,0,7.67,0,0
 36-46,0,0,0,0,0,12.95,0,0,1.91,7.52,0,0,0,0,0,0,0,0,0,13.2,0,1.13,2.86,1451.18,0,1.1,0,0,0,3.77,1.24,0,379.74,0,0,0,0,2.01
 48-58,0,0,39.51,0.67,0,178.16,1.59,2.1,1.18,19.37,0,0,0.89,0.55,0,6.84,0,0,0,40.88,0,6.89,7.83,2559.65,0,1.82,4.05,0,0,3.88,0,0.4,349.04,0,0,3.58,0.78,13.26
 60-70,0,0,7.13,0.68,0,744.27,0,12.3,6.28,26.15,0,0,0,0,0,0,0,6.73,0,68.38,0,10.69,3.17,3348.34,0,1.48,0,10.27,2.69,8.61,0,0,251.67,0,0,0,0,9.19
 72-82,0,0,11.14,5.93,2.97,1608.36,13.76,4.76,12.38,50.95,5.31,0,0.73,1.27,2.49,0,0.94,1.54,0,74.46,0,9.12,6.46,5453.42,0,2.24,4.07,0,2.24,5.95,0.63,1.81,345.25,1.21,0,2.02,4.14,0
 84-94,0,0,24.61,1.03,0,1086.92,0.7,0.74,7.78,66.39,2.65,0.66,1.27,0.64,0,0.67,0.78,0,5.22,61.38,0,14.61,10.25,4160.93,0,2.59,1.14,0,6.64,8.46,0,1.23,203.74,0.9,2.41,2.88,1.69,0.7
 96-106,0,0,18.66,28.92,0,1153.81,0,0.82,10.89,79.1,2.39,0,0,1.04,1.26,0.75,0,14.28,0,59.92,0.68,4,6.72,4178.39,0.65,2.28,1.74,0,2.9,8.33,0.68,0,117.17,1.8,1.08,4.3,1.57,19.71
108-118,0,0.74,39.56,2.81,0.5,981.99,0.65,7.45,7.55,80.89,0,0,1.19,4.82,0.69,0,0.78,2.91,2.13,98.98,1.61,8.53,3.42,3830.32,1.09,1.59,2.88,0,2.27,3.75,0,1.02,120,0,3.67,1.32,7.9,0
120,0,0,50.8,11.9,0,1103.87,3.87,1.42,30.64,107.81,12.44,0,0,6.94,0,0,0,0,0,124.06,0,5.61,2.77,7201.74,0,2,21.98,0,0,6.37,3.15,0,97.83,0,0,0,1.93,0
