stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.79,0,4.49,0,0,42.14,0,0,0,0,7.49,0,0,0,0,0,0,0,0,90.01,0,0,0,60.8,0,0,0,0,0,0,0,0,0,0
 10-12,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.55,31.06,0,0,23.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,4.79,3.16,0,0,1.3,18.39,0,0,0,0,0,0,2.25,1.86,2.92,9.6,0,0,0,0
 24-34,0,0,0,0.69,0,0.85,0,0,0,0,0,0,0,0,0,0,0.63,0,1.82,52.96,0.83,2.62,0.82,0,0,1.86,0,0,0,7.49,0,0,0,0
 36-46,0,0,0,1.38,0,11.01,0,0,1.11,0,0,0,0,0,0,2.58,0,0,1.97,36.5,0,0.81,0,0,0,0,0,0,0,9.66,0,0,0.72,0
 48-58,0,0,0,0.47,0,10.82,0,0,1.67,0,0,0,4.58,2.03,0,2.05,0.46,0,0,58.8,14.55,0.85,0,0,0,0,0,0,0,4.87,0,0,0,0
 60-70,0,0,0,3.76,0,40.94,0,0,8.48,0,0,0,0,0,0,9.81,0,0,1.01,162.78,0,0.96,0.58,0,0,0,0,0,0,26.14,0,0,0,2.09
 72-82,0,0.87,0,4.85,1.15,42.09,0,0.93,1.81,0.97,0.52,0,0,0,0,12.25,0,0,0.54,58.43,0.56,3.94,0,0,0,0,0,0,0,5.99,0,0.5,0,0
 84-94,0,1.43,0,0.79,3.49,29.04,0,0,12.39,0.76,0,0,0.56,0,0,16.71,0.76,0.58,0,51.98,0.72,0,1.1,0,0,0,0,0,0,2.91,0,0,2.67,0
 96-106,0,0.88,0,0,17.55,34.16,0,0,14.72,0,0,0.61,0.81,0,1.3,15.74,1.27,0,0,54.44,0,1.64,0,0,0,0.66,0,0,0,11.06,2.04,1.26,0.99,0
108-118,0,0,0,0.63,0.66,30.09,1.12,0,7.43,0,0,0,0,0,3.52,16.68,0,0,0.88,69.09,0,0,2.24,0,0,0,0,0,0,10.16,1.23,0,2.31,0
120,0,0,0,0,1.07,2.87,0,0,10.9,0,0,0,0,0,0,8.08,1.49,0,0,79.58,0,17.16,0,0,2.54,2.02,0,0,0,0,4.12,0,0,0
