stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0
 14-21,0,0,2.4,1.18,0,0,0,0,3.3,0,0,0,0,0,0
 24-34,0,1,0.75,0,0,0,0,1.75,5.15,0,0,1.25,1.22,4.26,0
 36-46,0,0,0,0,0,0,0,3.85,1.11,0,0,0,0.58,1.96,0
 48-58,0,0,2.52,0,0,0,0,0,1.78,0,4.46,0,4.41,0.82,0
 60-70,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0.97
 72-82,0,0,3.1,0,0,0.86,12.74,0,6.3,0,1.75,0,1.92,0,0
 84-94,0,0.68,6.38,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,3.94,0,0.58,0,1.95,0,0.94,0,0,0,0,0,0
108-118,0,0,0,0,0,0,4.49,0,0,0,1.2,0,1.3,0,0
120,0,0,16.81,0,0,0,12.14,0,5.16,0,0,0,0,0,0
