stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0.83,0,0,0,0
 24-34,11.9,0,8.76,0,0.74,0,0,0,0,4.25,0,2.69,0,0,1.52,0.68,0,6.51,0,0.93,0,0,0,0
 36-46,2.04,1.38,0,2.46,0.6,0.56,8.79,1.15,0,7.07,0,0.65,0,0.63,2.06,4.9,0,8.36,0,0,0,0,0,0
 48-58,23.98,1.13,0,1.72,0,0,0,0.7,2.14,9.08,0.6,1.8,0,0,0.6,1.01,0,7.7,0,0,0,0,0,0
 60-70,32.38,3.25,1.3,10.4,0.62,0,0,0,7.92,7.86,0.76,2.84,0,0,0,3.71,0,9.09,2.94,0,0,0,0,0
 72-82,24.25,0.62,0,4.35,0.61,0.51,0,0,7.44,8.17,0,12.78,0,0,0,1.16,0,0.66,0,0,0,0,0,1.37
 84-94,37.08,1.68,0,7.19,0,0,0,0,7.68,12.16,0,6.23,3.42,0,0,2.21,0,4.54,0.69,0,0,0.72,1.81,0
 96-106,42.83,0,0,7.98,0,0,0,0,2.1,7.65,0,3.7,0,1.49,4.25,0,0,5.56,0,0,1.25,1.45,0,0
108-118,50.45,0,0,9.45,0,0,0.47,0,7.28,5.63,0.79,27.47,0,0.48,1.79,0,0,4.44,0,0,0,3.42,0,0
120,113.98,14.35,0,5.76,3.67,0,0,0,19.67,0,4.34,20.36,0,8.55,1.09,0,0,2.86,0,0,0,0,0,0
