stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.79,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,0.97,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,19.42,2.26,0,0,0,0,0,1.16,0.86,0,1.24,6.38,0,0,1.76,0,0
 24-34,0,0,0,0,1.84,0.7,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,6.65,0,0,2.64,37.4,0,0,0,0,0,0,0,0.94,0,0.6,10.51,0,0,19.38,0,0
 36-46,0,0,0,0,0,0,0,0.64,0,0,0,1.05,0,0,0,0,0,0,0,0,1.15,0,0,0.63,56.55,0,0,0,0,0,10.53,0,0,0,0,17.28,0,0,1.42,0,3.32
 48-58,0,0,0,0,3.7,0,0,2.85,0,0,0,0.57,0.64,0,0,0,0,0,0,0,4.46,0,0.52,0,103.62,0,0,0,0,0,0,0,0,0,0,10.68,0,0,2.81,0,0
 60-70,10.7,0,0,0,3.64,0,66.99,18.82,0,0,0,0.65,0,0,0,0,0,0,0,0,33.35,0,1.66,2.02,389.48,0,0,4.77,0,2.16,0,0,0,0,0,9.09,0,0,3.96,0,0
 72-82,0,0,3.51,0,5.07,1.02,1281.33,55.25,1.52,0,5.75,11.86,13.75,0,0.68,0,0,0,4.97,0,19.26,0,3.5,2.17,483.9,0,2.22,0.51,0,0,9.89,0,0,0,0,9.72,2.37,0.72,6.04,0,0
 84-94,0,0,0.66,0,6.04,5.8,2909.29,70.22,0,0,2.5,36.61,12.95,0,0.69,1.27,0.9,0,6.19,0,33.23,0,5.17,7.14,740.3,0,8.48,0,0,0,11.33,0,0,0,0,7.83,1.63,1.38,5.05,4.44,0
 96-106,0,0,1.11,0,40.69,60.16,5210.62,259.98,1.49,2.96,4.67,48.57,76.79,0.86,7.56,1.17,0,3.26,46.77,0,88.94,1.52,5.84,10.94,722.18,2.04,9.67,8.3,0,8.89,45.79,0,3.4,0,0,20.67,2.3,1.85,35.75,10.4,6.73
108-118,0,0,0,0,40.97,21.23,10192.91,354.32,4.77,13.37,17.23,103.82,95.56,2.89,8.73,9.09,17.37,14.38,16.02,4.5,183.26,0,6.32,8.38,822.78,4.25,6.19,4.09,0,18.43,67.03,0,7.95,0,0,24.62,1.3,0.57,12.72,4.77,15.56
120,0,0,1.37,0,21.63,37.93,4190.23,207.38,0,4.59,19.12,108.3,51.84,8.42,5.77,6.63,20.7,1.48,9.9,9.24,208.6,0,6.37,19.3,745.57,13.95,2.34,17.46,0,14.45,29.73,0,25.83,1.21,0,0,0,13.58,9.87,0,2.78
