stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,glial,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,spinal.cord,taste,vasculature
  3-4,0,80.04,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.08,136.27,0,0,0,0,0,0,0,9.31,0,0,0,0,0
  7-9,8.54,5.84,3.2,4.52,0,0,0,0,0,76.72,0,22.82,0,0,0
 10-12,0,0,15.21,8.03,0,0,0,0,0,31.9,0,34.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.44,0,0,0.92,0,0
 24-34,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0
 36-46,0,0,0,0,0.96,0,0,1.95,0,15.27,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.39,0.52,0.39,0,0,0,0,0,1.82
 60-70,0,0,0,1.4,0,0,0,0,0,6.74,1.42,0,0,0,0
 72-82,0,0,0,1.77,0,1.39,0,0,0,1.27,0,0,0,0,0
 84-94,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,9.77,0,0,0,0,0
108-118,0,0,0,0.43,0,0.99,0,0,0,0,0,0,3.77,0,0
120,0,0,0,0,0,17.18,0,0,0,0,0,0,0,1.99,0
