stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,66.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0
  5-6,69.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.21,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,6.66,0,0,14.42,0,0,0,0,0,0,0
 14-21,0,0,1.7,0.94,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,6.33,0,0,0,0.92,0,4.62,3.36,0.88,0,0,0
 24-34,0,0,0.73,0,0,1.22,0,0,0,0,0,0,0,0,0,0,1.22,0,0,55.24,0,0,0,0,0.94,0,0,9.35,0,0,0
 36-46,0,0,0,0,0,1.44,0,0,0,1.06,0,0,0,0,0,0,10.37,0,0,189.96,0,0,0,0,1.01,0,0,37.15,0,0,0
 48-58,0,0.49,2.84,0,0,26.33,1.79,0,0,4.55,0,0.45,0,0,0,0,6.56,0,0,377.31,0,0,0,0,0,0,0,49.63,0,0,0
 60-70,0,0,0,0,0,108.28,0,0,0,8.23,0.85,0.7,0,0,0,0,12.53,0,0,700.28,0,0,2.78,0,0,0,0,59.72,0.69,0,0
 72-82,0,0,3.82,0,0,232.74,0,0,2.27,13.09,0,0,0,0,0,3.73,16.57,0,0,855,0,0,0.7,0,2.51,0,0,73.65,0.73,0,8.73
 84-94,0,0,0.6,0,0,98.42,0,1.21,0,17.03,0,0,0,1.69,0,0,15.32,0,0,536.72,0,0,0,0,0,0,0,54.88,1.76,0,0
 96-106,0,0.61,0.64,0,0,112.9,0,0,0.86,19.55,0,0,0.63,0,0,0,8.53,0,0,471.63,0,1.51,1.23,0,2.58,0,0,39.14,0,0,0
108-118,0,1.4,2.79,0,0,114.09,0,0,0,7.92,0,0.52,0,0,0,0,24.44,0,0.48,558.58,0,0,0,0,0,0,0,15.23,0.69,0.49,0
120,0,0,14.04,0,14.33,111.33,0,0,0,31.11,0,11.71,0,0,1.88,18.25,32.99,1.65,4.05,1177.25,0,0,0,0,0,0,0,27.22,0,0,0
