stage,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pronephros
  3-4,29.61,0,0,0,0,0,0,12,0
  5-6,114.82,0,0,0,0,0,0,0,0
  7-9,0,17.68,25.87,11.77,135.56,0,44.17,0,0
 10-12,10.57,4.61,5.83,0,162.79,18.45,38.18,0,18.62
