stage,blastomeres,erythrocytes,eye,glial,hatching_gland,immune,liver,mesenchyme,neural,spinal_cord,vasculature
  3-4,36.33,0,0,0,0,0,0,0,0,0,0
  5-6,23.82,0,0,0,0,0,0,0,0,0,0
  7-9,6.22,0,0,0,6.42,0,0,0,16.77,0,0
 10-12,6.98,0,0,0,0,0,0,0,18.7,0,0
 14-21,0,0,0,0,0,11.13,0,0,0,0,0
 24-34,0,4.15,0,0,0,47.94,0,0,2.06,0.63,0
 36-46,0,0,0,0,0,7.27,0,0,1.04,0,0
 48-58,0,0,0,0,0,1.57,0,0,0.62,0,0
 60-70,0,0,0,0,0,0,0,0,1.91,0,0
 72-82,0,0,0,0,0,3.2,0,0,9.24,0,0
 84-94,0,0,0.73,0,0,0,0,0,0,0,0
 96-106,0,0,1.01,0.72,0,12.74,0,0,1.98,0,7.86
108-118,0,11.95,0,0,0,21.43,0.79,0.81,0,0,6.72
120,0,25.81,0,0,0,98.38,0,0,0,0,54.45
