stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,14.29,543.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.96,0,0,0,0,0,0,0,0,0
  5-6,15.69,245.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.92,20.55,0,0,8.07,46.31,0,0,0,0,0,0,0,0,0
 10-12,0,5.51,0,31.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.77,30.34,0,0,0,17.12,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,21.37,242.32,1.08,0,0,0,1.58,0,0,11.23,7.5,0,0,9.52,0,0.93,1.15,0,2.25,0,0,0,21.69,120.18,0,2.4,0,274.75,3.25,6.86,0,1.74,4.83,0,0,0,0
 24-34,0,0,0,24.43,210.34,0,0,5.35,0,18.53,0,0,13.52,8,0,0,21.03,0,16.75,1.34,4.82,2.28,18.17,0,4.01,87.62,22.39,9.63,4.57,0,661.2,0,11.46,0.61,0,8.52,0,0,1.78,0
 36-46,0,0,0,1.81,119.15,0,0,1.9,0,24.2,0,6.97,2.12,0.62,2.23,0.57,14.14,0,5.68,0,3.95,0,9.24,0,0,72.26,27.96,4.28,6.05,0,730.71,0,5.15,0,0,8.74,0,0,0,0
 48-58,0,0,0,1.67,63.09,0,0,5.91,1.32,18.27,0,7.17,1.82,10.02,0,0,10.18,0,7.23,3.8,6.42,2.93,25.11,0.4,2.48,37.99,24.39,3,8.29,0,421.92,0,1.03,0,0,6.79,0,0,0,0
 60-70,0,0,0,2.79,66.1,0,0,7.18,0,21.02,0,0.96,8.33,2.2,0,0,7.54,0,3.58,0,0,2.52,15.63,0,0,24.97,26.92,0,12.36,0,456.49,0,0.62,0,0,11.4,1.91,0,0,0
 72-82,0,0,5.64,0,98.04,0.95,0,8.7,0,30.98,0,11.51,21.98,0,0,0,11.23,0,8.31,0.76,0,16.69,31.26,1.11,0,20.91,3.05,3.86,29.07,0,266.73,0,1.33,0,0,3.19,17.41,0,0.64,1.28
 84-94,0.62,0,7.9,0,135.17,8.79,0,9.23,0,41.12,0,2.48,45,3,0.8,1.18,25.28,0,7.98,0.6,0,12.6,38.65,0,0,11.2,11.51,9.18,48.45,0,683.43,0,10.07,0,0,0,15.06,0,0,0
 96-106,0,0,5.81,0.66,153.23,4.79,0,3.4,0,64.77,0.89,3.93,47.59,1.06,0.72,0,20.54,0.95,16.03,22.79,0,23.65,49.25,0,0,65.76,6.06,14.49,42.64,0,636.11,0,1.29,0,0,4.17,23.29,0,0.83,0.62
108-118,0,0,7.26,0,186.67,2.37,0.55,9.98,0,52.69,1.76,2.64,68.09,0,0,1.73,26.28,0.77,19.48,9.08,0,6.15,44.83,0,0,30.85,11.18,13.9,39.99,0,487.12,0,5.96,0,0,5.68,14.07,0,0,0
120,0,0,13.45,0,172.93,0,0,3.14,0,37.65,1.66,0,43.35,0,0,4.16,7.69,0,33.03,0,0,15.21,20.95,0,0,42.71,13.67,14.49,14.35,0,396.61,0,4.55,0,0,0,7.12,1.52,0,0
