stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature
 14-21,0,1.13,0.93,0,0.86,0,0,0.82,0,0,0,0,0,1.1,0,0,2.69,0,0,0,0,0.82,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0.91,1.34,0,0,6.19,0,0,3.97,0.71
 36-46,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1.3,0,2.78,0,0,0,0
 48-58,0,0,0,0,1.54,5.77,0,0,0,0,0,0,0,0,0,0,1.35,0,0.64,0.46,0,0,1.29,1.77
 60-70,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,13.2,0,0,1.27,1.54
 72-82,0,0,0,0,0,0,0.56,0,0,0,0.63,0,0,1.33,0,0,1.32,0,0,9.32,1.09,0,0,1.87
 84-94,0,1.78,0,0,0,0,0,0,2.56,0,0,0.81,0,0,0.61,0,0,0,0,18.43,0,0,0,0
 96-106,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.61,1.13,0,10.19,0,0,11.62,0,0,0,0
108-118,0.49,2.76,0,2.29,4.68,0,0,0.56,0,0,0,0,0,0,0,0,0.5,0,0.88,7.25,0,0,0,0
120,0,0,0,0,0,0,0,12.76,0,6.82,0,0,0,0,0,0,20.57,0,0,26.17,0,0,0,1.67
