stage,axial,epidermis,erythrocytes,eye,glial,gut,mesenchyme,mucous,muscle,neural,olfactory,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord
  7-9,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0
 14-21,0,1.5,0,0,0,0,0,0,0,0.8,0,0,0,1.06,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0
 36-46,0,0,0,0.91,0,0,0,0,0,0.72,0,0,3.1,0,0,0.61
 48-58,0,0,0,0,0,0,1.33,0,0,3.9,0,0,0,0,0,1.05
 60-70,0,0,0,1.69,0,0,0,0,0,2.16,0,0,0,0,0,0
 72-82,0,0,0,1.1,0.7,0,1.39,0,2.3,4.83,0,0,0,0,0,0
 84-94,0,0,0.83,0.69,0,0,1.63,0,0.71,1.72,0,0,0,0,0,0
 96-106,0,0,1.44,1.17,0.96,0,0,0,0,1.52,0.92,0,0,0,0,0
108-118,0,1.55,1.49,1.54,1.72,0.5,2.76,1.47,0,0.72,0,0.97,0,0,0,0
