stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.04,0,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,13.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,0,0,0,6.74,0,0,0,0,0,0,0,0
 14-21,0,1.07,0,0.84,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.07,0.81,0,0,0,0,0,221.45,0,0,0,0,0
 24-34,0,0,6.82,0,0,4.68,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0.63,0,0,1.47,1943.07,0,4.79,0,0,0,0,434.53,0,0,0,0,0
 36-46,0,0,1.07,0,0,47.63,0,0,0,7.23,0,0,0,0,0,0,0,0,0,3.28,0,0,0,4194.34,0,1.96,0,0,0,0,687.74,0,0,0,0,0.9
 48-58,0,0,9.02,0,0,476.43,0,1.52,0,28.92,0,0,0.55,0,0,0,0.41,6.33,0,17.03,0,5.44,7.31,6481.96,0,0.81,1.57,0,0.59,5.98,711.64,0,0,3.17,0,9.66
 60-70,0,0,1.92,2.72,0,1412.04,0,0,0,81.4,0,0,0,7.7,0,0,0,4.34,0,18.45,0,5.13,1.26,6681.07,0,3.02,2.07,0,0,4.09,488.47,0,0,0,0,8.13
 72-82,0,1.18,23.4,8.56,0,2607.43,0,3.38,8.57,84.6,1.92,0.6,1.58,5.14,0.55,5.83,2.1,0,9.92,42.66,0,2.05,1.94,8906.27,0,2.7,7.16,0,1.4,4.69,338.46,4.93,0,12.61,2.88,9.47
 84-94,0,1.15,28.45,13.87,0,1571.84,0,4.74,0.83,55.51,4.75,0,1.27,0,0.83,0,0,0,0,27.95,0,9.79,10.96,5156.29,0.65,4.72,3.18,0,0,5.68,162.5,5.56,0,1.18,4.98,9.76
 96-106,0,0,18,20.31,0.8,1638.55,0,0.59,2.33,125.16,0.56,0,0,0,0,1.59,0,26.41,0,38.73,0.6,2.93,0,5232.48,0,2,1.8,0,0,1.09,89.63,4.64,0,4.42,0,4.45
108-118,0,0,48.05,4.45,0,1617.89,0.56,0,4.26,63.45,1.65,0,0,2.02,0,1.91,0,3.18,0,33.17,0,7.79,5.35,5538.77,0,4.21,3.68,0,0,0.86,57.02,1.78,1.4,4.06,2.65,0
120,0,0,55.59,3.44,2.68,1276.36,0,1.11,5.01,85.88,7.45,0,0,11.8,0,0,1.69,5.48,0,26.13,4.3,19.18,1.64,6982.22,0,8.07,4.02,0,8.63,0,64.24,3.1,0,9.94,0,0
