stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.12,71.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,176.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,3.58,0,0,17.35,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,73,31.64,0,0,33.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.16,4.69,0,0,27.08,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10.48,0,3.21,0,0,0,0,1.19,0,0,0,0,0,11.44,7.57,0,0,19.03,50.39,0.81,0,2.51,1.97,0,0,5.29,0,6.02,15.08,0,0,0,0,0
 24-34,0,0,0,0,7.06,0,7.3,0,0,1.44,0,0,0.98,0.67,0,0,0,0.61,14.14,0,0,5.89,138.07,0,0,1.53,0,0,5.28,0,0,2.38,31.34,0,0,0,0,2.41
 36-46,0,0,0,0,1.35,0,15.3,6.48,0,8.29,0,0,0,0,0,0,0,0,15.2,0.65,0.6,3.82,158.55,0,0,0,0,0,9.06,0,0,0,29.96,0,0,1.99,0,0
 48-58,0,0,0,0,2.13,0,42.3,0,0.4,7.84,0.46,0,0,0,0,0,0.44,0,16.53,0,0,2.14,96.85,0.39,0.4,0,0,0,5.72,0,0,0,15.99,0,0,0.5,0,8.59
 60-70,0,0,0,0,0,0,74.54,0,0.62,17.41,0.62,0,0,0,0,0.6,0,3.31,20.72,0.84,0,2.04,123.88,0,0,0,0,0,7.89,0,0,0,18.94,0,0.67,0,0,4.4
 72-82,0,0,0,0,1.37,0,30.15,0,2.06,20.46,0.66,0,0,0.71,0,0,0,0,37.59,0,0,5.77,73.98,0,0.63,0,0,0,0.7,0,0,0,21.28,1.19,0,3.92,0.75,0
 84-94,0,0,0,0,1.13,0,49.07,1.21,0,10.67,0.57,0,0,0,1.64,5.7,0,0,19.44,0,0,6.56,67.89,0,0,0.61,0,0,3.94,0,0,0,2,0,1.9,0,0,0
 96-106,0,0,0,0,3.24,0,33.86,0,0.65,7.85,0,0,0,0,0,0,0.63,0,22.93,0,0,3.47,40,0.77,0.59,0.68,0,3.05,2.16,0,0.82,0,0,0,0,6.34,0,0
108-118,0,0,4.02,0,2.27,0,9.48,1.12,0,11.65,0,0,0,0,1.77,0,0,0,7.1,0,0,0,45.03,0,1.25,0,0,0,3.73,0,0,0,0,0,0.82,1.54,0,0
120,0,0,0,0,0,1.71,17.82,0,2.8,23.15,0,0,0,1.47,0,0,0,0,17.31,0,0,0,61.35,1.42,0,6.32,0,0,5.58,0,0,0,1.53,0,0,0,0,0
