stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.89,0,4.79,94.54,10.61,0,1.58,0,1.74,0,3.39,5.73,0.94,65.23,0,2.19,0,0,115.92,0,391.11,0.83,0,764.68,128.59,13.44,0,4.66,4.38,0,126.79,4.64,119.48,200.21,1051.01,1858.87,22.71,0,0,1.08,0,0
 24-34,0,0,2.93,38.53,4.19,0,31.81,20.41,6.37,13.42,11.31,5.4,0,18.14,0,27.03,0,1.01,135.04,0.59,376.24,5.23,0.82,500.23,209.46,1.74,3.36,6.79,0,0,238.75,0.86,0.95,123.44,245.3,475.3,33.36,0,0,17.89,0,0
 36-46,0,0,0,28.74,0,0,23.32,16.39,3.42,33.92,9.49,0,1.26,7.41,0,24.56,5.18,1.32,25.51,1.29,331.78,7.06,4.38,151.34,128.07,2.57,3.08,3.41,0,0,310.57,0.81,0,46.5,51.18,4.72,24.72,0,0,6.95,0,0
 48-58,0,0,0,27.8,0.71,0,32.41,17.4,2.79,37.03,17.33,0.51,2.05,5.09,1.88,14.34,1.98,5.6,19.73,0.54,174.68,7.04,2.57,92.27,130.74,2.52,7.46,1.08,0,0,193.03,0,0,31.1,19.37,0,19.66,0,0,1.52,0,4.52
 60-70,0,0,0,36.59,0,0,80.12,20.53,4.45,28.52,28.97,6.46,3.53,3.33,0,14.19,9.8,6.29,8.14,0,198.82,1.81,2.31,38.64,89.07,0,9.45,2.05,0,0,110.54,0,0,32.38,6.14,0,11.52,0,2.46,0,2.77,0
 72-82,0,0.64,0,26.62,1.2,0,42.46,2.45,14.92,33.24,11.83,26.7,1.19,0,2.72,6.01,28.89,5.38,15.15,0,184.27,3.67,18.21,34.16,72.97,0,0,2.71,0,0.71,91.6,0,0,32.49,2.6,0,1,0,0.56,2.35,14.47,0
 84-94,0,0,0,38.1,6.24,0,43.84,4.43,4.14,41.25,8.74,40.69,0.77,2.08,5.55,5.72,41.76,4.22,17.45,0,194.39,9.81,16.56,30.71,52.89,0,1.7,10.63,0,0.6,178.26,0,0,74.45,0.68,0,5.63,5.44,1.31,2.4,9.13,0.59
 96-106,0,2.32,0,36.35,11.66,0,55.46,7.68,5.94,13.32,7.92,56.11,1.06,2.38,4.73,13.63,77.2,2.15,2.6,0,160.74,1.23,19.3,38.12,72.19,0,4.72,9.06,1.2,0,165.54,2.7,0,36.6,0,0,11.1,2.18,1.88,6.33,26.11,0
108-118,0,0.89,0,47.4,5.99,0.51,44.18,12.29,4.53,21.44,4.08,67.51,0,0,13.31,18.52,86.6,4.62,4.94,0,161.29,3.4,3.71,24.17,62.99,0,0.89,2.52,0,2.45,161.18,0,0,36.59,2.42,0,2.35,4.98,0,6.5,10.82,0
120,0,0,1.28,53.32,0,1.14,46.01,0,7.22,33.17,5.72,73.8,0,2.11,16.74,12.82,113.95,1.11,6.54,0,117.65,7.39,0,22.17,102.15,0,3.8,0,0,0,115.79,0,0,47.31,4.99,0,2.39,9.73,0,6.71,21.54,0
