stage,axial,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,somites,spinal_cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855.85,0,0,0,0,0,0,0
 14-21,0,2.72,0,0,0,0,0,289.27,0,0,0,22.81,0,0,5.71,0,10.68,0.82,0,0,0,0
 24-34,0,2.42,0,0.94,0,0,0,356.63,0,0,0,32.76,0,0,4.57,0,4.71,0,0,0,0,0
 36-46,0,6.74,0,0,0,0,0,161.48,0,0,0.67,9.19,0,0,6.11,0,6.73,0,1.63,0,0,0
 48-58,0,25.04,0.99,2.42,0,0,0,64.14,0,0,1.35,5.19,0,0.4,35.96,0.6,12.29,0,1.2,0,0.4,5.23
 60-70,0,66.98,1.07,3.8,0,0.68,0,86.08,1.91,0,2.65,2.49,0,0,28.96,0,2.28,0,4.27,0,0,0
 72-82,0,59.02,7.86,0,0,0,0,148.03,0,0,0.6,2.38,0,0,20.57,0,1.61,0,0,0,0,0
 84-94,1.23,96.83,4.34,5.86,0,0,0,250.75,0.63,0,1.83,1.21,0,0,11.62,2.84,10.95,0,0,0,0,0
 96-106,0,101.55,2.42,0.85,1.02,1.48,4.07,196.43,4.93,8.69,4.01,3.25,0.63,0,20.66,5.29,11.8,0,0,0,0,0
108-118,0.5,87.14,8.79,0.72,0,0,0.49,169.95,2.97,14.6,0,4.54,0,0,10.48,2.98,22.87,0,2.13,1.55,0,0
120,0,125.04,0,6.04,0,1.87,0,151.26,0,0,0,1.8,0,0,68,0,17.59,0,0,0,0,0
