stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.81,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.8,0,13.39,0,0,0,141.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061.69,9.64,0,0,35.29,0,0,0,0,0,9.49,0,0,0,0
 14-21,0,0,32.87,5.12,16.52,0,0,7.62,0,0,0,11.41,0,0,0,0,0,0,0,0,0,6.98,0,0,20.8,2090.91,5.28,0.87,0,1.39,0,0,7.43,0,1625.75,431.61,2125.97,0,0,0
 24-34,0,0,58.52,0,10.14,3.4,0,16.48,0,0,0,31.64,0,0,0,0,0,0,0,5.19,0,9.15,0,0,15.33,5592.21,0.77,0.64,1.06,0,8.72,0,3.08,0,433.33,25,1387.86,0,3.96,0
 36-46,0,0,12.17,0,4.72,2.13,0,38.42,0,0,0,118.23,0,0,0,6.94,0,0,0,0,0,7.18,1.26,0,6.29,6186.85,0,1.31,0,0,14.06,0,0,0,226.68,0,736.53,0,1.33,0
 48-58,0,0,13.35,0,14.43,2.3,0,73.37,1.44,1.31,0,136.21,0,0,0.69,0,0,5.18,0.97,0,0,16.05,0,7.44,21.41,3988.74,0,1.58,0,0,11.9,0.65,0,0,171.24,0,661.54,0,2.1,0
 60-70,0,0,56.17,0,1.44,0,0,63.11,5.73,4.43,0,91.23,2.58,0,0,3.28,0,0,0,0,0,17.98,0,0,23.76,2778.28,2.2,0,1.56,0,4.82,0,0,0,114.32,0,392.37,0,0,0
 72-82,0,0,100.24,0,8.13,4.07,0,132.93,1.43,0,0.89,141.57,0.81,2.07,0,1.13,0,0,0,0,2.66,16.62,0,0.63,7.91,2219.73,0,1.22,2.07,4.51,1.78,0,0,0,68.44,0,366.19,0,0.5,6
 84-94,0,0,168.63,0,16.77,0.7,0,97.33,42.09,0.63,1.12,104.95,8.56,0,0,1.03,0,0.83,0,1.17,0,43.18,0,1.33,13.99,1504.1,1.49,0,0,0,1.34,0,0,0,102.88,0,269.66,1.47,0,0
 96-106,0,0,136.88,2.15,13.52,21.28,1.66,109.35,31.13,1.6,0,115.12,9.37,0,0.62,2.68,0.98,0,0,0,0,33.21,0,0,11.18,1091.61,0,1.65,0,12.05,11.82,1.35,0,0,114.68,0,453.72,0,0.6,28.74
108-118,0,0,118.24,0,13.46,0,0.51,78.94,23.91,0,0.46,158.3,3.73,0,0,0,0,1.16,0,0,0,15.47,0,0,23.36,1854.67,0,1.52,0,0,1.47,0,0,0.47,90.12,0,264.69,0,0,4.66
120,5.65,0,81.06,0,63.93,3.05,0,51.62,45.82,0,0,231.03,3.25,0,0,0,0,0,1.07,12.01,0,38.72,0,0,20.42,2017.18,10.24,0,3.34,0,4.79,0,2.24,0,46.1,0,334.12,0,0,0
