stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,0,313.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.27,343.35,0,0,0,0,0,0,0,0,0,52.43,0,0,0,9.09,15.14,0,0
  7-9,0,8.82,0,25.04,0,0,0,0,0,0,0,169.01,0,0,0,25.67,0,20.05,0
 10-12,0,0,0,7.85,0,0,0,0,0,0,0,124.73,3.57,0,0,0,0,0,0
 14-21,0,0,0,0.8,0,0,0.87,0,0.8,0,0,13.44,0,0,0,0,4.85,1.8,2.22
 24-34,0,0,0,1.85,0,0,0,0,0,0,0,7.14,0,0,0,0,8.02,0,1.39
 36-46,0,0,3.04,0.62,0,0,0,0,5.3,1.23,0,1.3,0,0,0,0,5.38,0,0
 48-58,0,0,0,0,0,0,0.48,0,0,0,0,4.1,0,0.88,0,0,5.46,0,0
 60-70,0,0,0,0,0,0.75,0,0,0,0,0,9.46,0,5.45,0,0,5.97,0,0
 72-82,0,0,0,1.46,0,0,0,0,0,1.61,0.53,11,0,3.41,0,0,20.58,0,0
 84-94,0,0,0.66,2.06,0,0,0,0,0,3.93,0,3.39,0,4.09,0,0,21.93,0,0
 96-106,0,0,1.84,1.26,0,0,0,0,0,2.06,0,13.16,0,1.51,1.71,0,37.33,0.64,3.26
108-118,0,0,1.03,0.43,0,0.69,0,0.52,0,5.66,0,7.3,0.41,0.46,0,0,20,0.79,0
120,0,0,0,1.31,1.22,3.49,0,0,0,0,0,33.44,0,0,0,0,35.08,1.53,0
