stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,51.82,999.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.38,0,0,0,0,0,0,0,0
  5-6,0,407.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.44,0,0,0,0,0,0,0,0
  7-9,5.45,0,0,0,0,0,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,66.79,12.41,0,0,18.04,7.31,7.87,0,0,0,0,0,0,0
 10-12,0,16.48,0,0,0,0,4.45,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,137.48,0,0,0,30.14,0,18.7,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.12,49.36,2.4,0,0,0,0,0,62.41,0,0,0,0,1.52,0,0,0.84,18.12,1.94,0,0,0,8.15,2.13,1.12,0,1.01,0,0,0,0
 24-34,0,0,0.75,0.76,1.8,4.84,1.5,1.15,0,0,0,0,93.39,15.39,0.7,0,0,4.05,0,0,0.82,30.69,0,2.56,0,0,12.65,0,0,7.17,0.67,8.39,0,15.14,0
 36-46,0,0,0.92,0,0,0,1.95,0,8.18,0,0,0,123.86,1.62,0,0,1.59,0,0.95,0,0,28.73,0,1.96,0,0,16.52,1.11,0,3.26,0,12.37,0,24.87,0
 48-58,0,0,0,0,1.13,0,2.8,0.41,2.86,0,0,0,89.8,0.44,0,0,0,0.55,0,0,0,30.63,0,7.15,0,0,10.58,0,0,1.36,0,10.29,0,2.74,0
 60-70,0,0,0,0,4.18,0,18.21,0,5.23,0.57,0,0,115.32,1.5,0,0.88,0,1.51,0,0,0,40.49,0,0,0,0,10.69,0,0,0.65,0,9.5,0,9.3,4.21
 72-82,0,0,0,0,2.56,2.87,2.06,0,4.38,0.71,0,0.68,133.3,1.68,0,1.56,0,9.17,0,0,0,12.23,0,2.08,4.41,0,8.99,0,0,0.53,0,9.98,0,15.75,0
 84-94,0,0,0.7,0,0,5.52,9.07,0,0,0.8,0,0,164.16,4.32,0.55,4.12,0,11.28,0,2.74,2.63,2.09,0,0,6.4,0,10.28,0,0,0.58,0,0,3.28,13.56,0
 96-106,0,0,0,0,3.6,1.64,12.72,0,2.77,4.39,0,0.88,226.4,3.52,0,1.2,0.77,7.36,0.74,3.24,0,7.67,0.8,1.65,0,0,36.55,0,0,4.24,0,0,0,20.83,0
108-118,0,0,0,0,1.71,4.64,16.72,0,0.63,0,0,0,213.74,3.17,0,3.64,2.23,8.16,0,0,0,7.44,0,4.4,1.01,0,10.52,0,0,1.15,0,0.98,0.77,23.28,0
120,0,0,0,0,1.68,14.9,1.69,0,2.14,0,0,0,199.28,2.54,0,0,0,4.28,0,0,0,35.36,0,12.72,1.51,0,1.12,0,0,8.1,0,0,0,14.67,0
