stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,466.82,1064.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2468.62,0,0,0,0,0,0,0,0,0,0
  5-6,1794.28,3304.33,0,55.44,0,0,0,0,0,0,0,82.33,0,0,0,0,0,0,0,0,0,0,0,299.5,17.81,0,0,48.13,0,7768.55,0,0,0,0,0,0,0,0,0,0
  7-9,43.95,61.12,0,115.97,0,0,154.33,0,0,0,0,79.41,0,0,0,0,0,0,0,0,0,0,0,1428.3,62.84,0,0,278.2,0,7158.82,28.97,0,0,0,0,0,0,0,0,0
 10-12,0,118.88,0,229.09,0,9.85,117.26,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,4650.82,144.92,0,0,842.48,0,3525.11,0,0,206.7,0,5.74,10.41,0,0,0,0
 14-21,0,0,0,0.95,1793.33,17.99,28.24,0,0,11.25,3.23,17.09,4.84,0,2.83,0,0,7.1,0,34.03,23.15,0,12.01,348.47,30.88,11.16,4.11,3.61,0,24639.42,0,51.54,1.78,9.16,22.91,114.33,0,2.05,0,3.56
 24-34,0,0,0,0,343.24,1.05,16.2,27.64,0,1.24,0,0,1.97,0,1.12,0,1.8,2.05,0,11.32,2.26,0,11.16,99.32,0,73.12,13.72,0,0,1992.92,0,0,0,0,5,11.2,0,0,0,0
 36-46,0,0,0,0,165.93,0,3.47,7.71,0,0,0,0,0,2.58,2.04,0,0,0,1.51,0.86,1.99,0,0,56.03,0.6,27.37,0.8,0,0,912.88,0,0,0,0,0,5.02,0,0,0,0
 48-58,0,0,0,0,101.11,0,13.38,31.87,0,2.65,1.09,0,0,3.41,1.09,0,0,0,1.15,4.58,0,0.89,0.82,16.88,0,14.29,1.05,0,0,481.54,0,0,0,0,0,2.67,0,0,0,2.57
 60-70,0,0,0,0,73.46,0,7.7,44.19,0,1.12,0,0,0,0,0,0,0,0,0,0,1.61,0,0,15.21,0,13.73,1.28,0,0,515.08,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.79,0,150.21,6.75,9.35,20.3,0.56,5.83,13.55,0,1.15,0,0,0,0,0,0,6.25,0,3.46,0,14.02,0,17.56,3.08,0,0,398.15,0,0,0,0,0,1.99,28.44,1.9,0,0
 84-94,0,0,0,0,396.42,2.95,15.74,78.62,0,1.68,25.74,0,0,0,0.86,0,0,0,0,6.41,2.97,0,1.02,7.06,0.67,61.65,7.12,0,0,843.67,0,0,0,0,0,0,76.42,0,3.28,0
 96-106,0,0,0,0,624.46,14.33,28.49,88.26,0,3.99,75.08,0,0,0,0,0,0.75,0,0,11.6,2.05,0,1.44,44.71,2.6,59.93,7.63,0,0,749.92,0,0,0,0,0,0,91.51,0.7,0,6.32
108-118,0,0,5.38,0,579.03,0,19.91,131.5,0,5.2,64.26,0,0,1.9,1.48,1.63,0.62,0.7,0,13.68,0.54,3.27,0,46.09,0,51.94,6.44,0,3.43,963.89,0,0,0,0,0,1.14,84.62,0,0,0
120,0,0,0,0,482.38,4.28,11.48,97.83,0,0,18.39,0,0,0,0,0,1.07,0,0,0,9.06,0,0,38.26,0,25.91,3.23,0,3.68,414.88,0,0,0,0,0,0,17.04,0,0,0
