stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.73,0,0,8.38,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,34.05,0,0,17.21,0,0,4.75,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0.92,0,0,0
 24-34,0,1.49,0.72,0,1.12,0,0,0,0,0,11.29,0,0,0,0,0.61,0,2.84,1.71,0,0
 36-46,0,0,5.12,0,0,0,0,0,0,0,22.49,1.31,0,0,0,0,0,2.21,1.5,0,0
 48-58,0,0,2.77,0,0,0,0,0.47,0,0.75,20.96,1,0,0,0,0,0,0,0,0,2.13
 60-70,0,1.27,49.44,0,1.57,0,0,1.26,0,0,10.73,0,1.26,0,0,0,0,2.7,0,0,0
 72-82,0,1.32,35.26,0,0,0,0,6.09,0,12.14,39.86,2.3,1.2,0,0,0,0,0,0,0,4.4
 84-94,0,0,20.28,0,0,0,0,10.89,0,0.67,28.85,0,3.17,0,0,0,0,1.11,0,0,0
 96-106,0,0,21.04,0,0,0,0.58,3.53,0,0,55.64,0,4.16,0,0,0,0,0,0,0,0
108-118,0,0,15.07,0,2.6,0.69,0,5.94,2.87,0,37.45,0.72,3.64,0,1.21,0,0,0.7,0,0.57,0.97
120,0,0,9.53,10.14,5.08,0,0,0,0,0,48.39,2.4,3.12,0,0,0,0,0,0,0,0
