stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,13.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,14.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,37.54,0,0,0,0,0,0,0,0,1.73,2.98,0,0,0,0,0
 24-34,0,0,0,2.14,0,0,0,0,1.22,0,0,0,22.88,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0
 36-46,0,1.27,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.19,0,0,0,0,0.47,0,0,0,4.36,0,0,0,7.78,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,6.96,3.93,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0
 72-82,0,0,5.86,22.81,26.91,0,0,0,0,0,0.7,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0.61,0,0,3.44
 84-94,0,1.18,0,0,37.68,0,0,0,0,0,7.47,0,0,0.59,0,9.64,4.96,0,0,0.91,0,0,0,0,0,0,0,0
 96-106,0,0.6,4.34,4.94,190.72,0.59,0,1.58,0,1.67,3.74,2.09,0,8.13,4.08,24.98,11.64,0,0.74,0,14.59,0,0,0,0,1.47,0.96,0
108-118,0,0,0,2.94,300.79,0,1.51,0,0,1.02,3.18,0,0.7,8.79,0,11.11,21.06,0,0,0,2.15,0,0,6.85,0,0,0.57,0
120,0,2.12,0,21.47,558.13,0,0,0,0,0,0,0,0,6.72,0,0,20.21,1.28,0,54.5,2.63,0,0,0,0,0,0,0
