stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord
  5-6,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,4.47,0,0
 10-12,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0
 14-21,0,0,3.92,2.1,2.36,2.05,0,2.2,3.37,0,8.4,0,2.31,4.73,176.02,2.86,0,0.9,0,0,38.52
 24-34,0,0.66,0.74,2.4,0,0.68,0,7.2,1.23,0,12.78,1.63,7.72,3.39,236.15,0,0,1.18,0,1.19,58.97
 36-46,0,0,0.96,2.38,0,1.22,0,1.81,0,0,2.29,9.17,10.78,2.24,94.55,0,1.26,0,0,7.49,47.57
 48-58,0,0,0,0,0,1.19,0,1.37,0.82,0,0,0,10.58,3.11,15.67,0,0,0.44,0,0,3.09
 60-70,0,0.89,0,0,0,5.35,0,0.79,5.33,0,1.63,0,1.76,2.21,5.92,0,0,0,0,0,3.49
 72-82,0,0.83,0,0,0,8.97,0,0.7,5.94,0,12.44,0,3.13,0,19.07,0,0,0,0,2.92,2.24
 84-94,0,0,0,0,0,0.61,0,0,13.36,0,0,0,0.55,1.87,9.58,0,0,0,0,4.08,0.74
 96-106,0,7.72,0,0,0,0,0,1.97,23.25,0.94,0,0,5.09,3.16,12.24,0,0,0,0,0,0
108-118,0,7.65,0,0,1.29,23.11,0,0.55,49.59,0,0,0,0.95,1.13,18.98,0,3.63,0,0,2.32,0
120,0,0,0,0,0,10.3,1.65,0,92.04,0,4.74,0,2.75,0,21.24,0,0,0,0,5.34,0
