stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,983.27,20325.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001.62,0,0,0,0,0,0,0,0,0,0,0
  5-6,720.51,7226.34,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.51,0,0,0,53.31,148.29,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.7,70.85,0,84.75,0,0,111.71,0,0,0,0,0,94.28,0,0,0,0,0,0,0,0,0,0,0,1401.86,28.79,0,0,483.26,5.78,78.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.45,0,26.73,0,12.05,53.93,0,0,0,0,0,18.52,0,0,0,0,0,0,0,0,0,0,0,500.14,32.09,0,0,157.07,0,18.78,4.43,8.35,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.06,2.05,1.03,0,0,0,3.76,0,0,0,0,0,0,0,0,0,5.47,0,0,3.49,76.6,0,0,0,0.88,2.24,0.9,7.46,0,0,14.69,27.62,0,0,0,0,0
 24-34,0,0,1.05,0,0.65,1.17,5.61,0,0,0,1.08,0,0,1.36,0,0,0,0,0,0,8.89,0.76,0,1.82,169.5,2.05,2.2,3.79,0,3.44,0,0,0,0,1.94,45.94,0,0,2.3,0,0
 36-46,0,0,0,0,0,0,28.62,0,0,1.22,8.62,0,0,0,0,0,0,0,0,3.56,10.91,0,0,1.24,237.2,0,3.51,0,0,17.52,0,0,0,0,0,48.58,0,0,0,0,0
 48-58,0,0,0,0,4.59,0,49.37,0,0,0.9,12.03,0,0,0,0,3.61,0,0,0,0,15.28,0,0,3.44,275.22,0,3.92,0,0,0.38,0,0,0,0,0,53.24,0,0.64,1.27,0,0
 60-70,0,0,0,0,0,3.19,87.92,0,0,0,5.15,5.52,0,0.77,0,1.1,0,0,0,0,35.31,0,0,3.68,300.9,0,0,0,0,0,0,0,0,0,0,40.39,0.61,0.63,0,0,8.46
 72-82,0,0,0,0,3.65,0,92.9,0,0,1.52,5.69,0,0,0,1.01,1.02,0,0.83,6.97,1.69,31.37,0,1.11,7.06,254.63,0,1.38,2.52,0,1.86,0,0,0,0,0,18.74,0,0.81,0.74,0,0
 84-94,0,0,0,0,1.58,1.49,44.32,1.33,0.91,0,12.36,1.46,0,0,0,0,0,0,0,5.22,7.58,2.88,0,0.98,121.83,0,10,2,0,6.26,0,0,0,0,0,16.54,0,0,0.57,1.25,0.74
 96-106,0,0,0,0,1.29,0,31.92,0,0,0,5.17,0.96,0,0,0,0,0,1.13,0,0,10.68,0,0,1.55,129.52,0,5.72,0,0,3.85,0,0,0.6,0,0,8.28,0,0,0.78,1.88,8.82
108-118,0,0,0,0,2.08,2.27,22.07,0,0,0.82,4.6,3.97,0,0.49,2.6,0,1.59,0,0,0,17.66,0,0,0.93,172.8,0.45,2.32,0,0,4.34,0,0,0,0.43,0,4.89,0,0,2.86,0,1.4
120,0,0,0,0,2.99,3.48,9.04,0,0,0,5.51,2.46,0,0,1.69,1.28,0,0,0,0,11.23,0,0,1.12,183.05,0,0,2.2,0,0,0,0,0,0,0,7.32,0,0,3.19,0,0
