stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,iridophores,lateral.line,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,taste
  3-4,11.89,217.3,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0
  5-6,7.58,275.56,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0
  7-9,11.23,0,4.6,0,3.94,0,0,0,0,0,0,0,69.14,5.98,19.42,0,0,0,0
 10-12,0,6.62,7.18,0,0,0,0,0,0,0,0,0,10.1,0,0,3.07,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,4.64,0.81,0,0
 24-34,0,0,0,0,1.05,0,0,0,0,0,0,0,18.35,0,0,1.97,0,2.29,0
 36-46,0,0,0,0,0,0,0,1.87,0,0,0,3.37,20.86,0,0,12.65,0,3.87,0
 48-58,0,0,0,0.47,1.1,0,0.4,0,0,0,0,0,20.62,0,0,0,0,3.17,0
 60-70,0,0,0,0.75,0.75,0,0,0,0,0,0,2.98,0.86,0,0,2.12,0,5.9,0
 72-82,0,0,0,0,0,0,0,0,3.06,0,0,0,2.98,0,0,0,0,8.49,0
 84-94,0,0,0,0.83,0,0,0,0,0,0,1.05,0,1.02,0,0,0,0,0,1.17
 96-106,0,0,0,0,0,0,0,0,0,3.99,0,5.03,0,0,0,2.82,0,0,0
108-118,0,0,0,0,7.26,1.92,0.43,0,0,0,0,0,0,0,0,0.44,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0
