stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,129.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,124.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.88,5.89,0,3.47,0,0,4.43,0,0,0,0,0,6.41,0,0,0,0,0,0,0,0,0,0,114.15,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.18,4.69,0,0,310.19,0,0,4.56,0,0,112.74,0,0,0,0,0
 14-21,0.89,0,0,0.94,5.43,0,0,0,0,0,1.7,1.14,0,20.1,0,0,0,0,0,0,2.53,0,45.88,21.18,0,0,0,0,0,0,145.14,0,798.82,1597.43,8.5,0,0,0,0
 24-34,0,0,0,0.62,6.24,0,14.9,286.77,0.92,0.72,0,0,0,18.53,0,1.18,0,0,0.86,1.68,8.27,0,100.11,131.11,0,4.23,0,0,0,7.37,0.85,0,229.48,571.68,13.09,0,12.05,0,0
 36-46,0,0,0,0.96,0.92,0,11.2,507.45,0,0.6,2.07,0,0,2.09,0,0,0,0,0,0,37.83,0,67.31,140.06,0,0.73,1.34,0,0,3.62,0,3.13,191.41,33.85,36.39,0,0.81,0,1.44
 48-58,0,0,0,0,7.32,0,32.08,259.28,5.49,4.47,10.27,0,0,0,0,8.58,0.39,0,0,0.51,42.65,5.62,56.95,141.3,0,0,0,0,0,5.28,0,0,111.07,0,36.73,0,3.78,0,7.52
 60-70,0,0,0,0,1.13,3.39,15.15,136.94,0.68,1.26,16.78,0,0,0.61,0,2.43,0,0.61,0,1.74,51.78,0,40.8,98.27,0,0,0.94,0,0,5.36,0,0,50.87,0,10.89,0,0,0,0
 72-82,0,0,0,0,1.11,0.54,42.6,92.07,5.06,8.18,12.6,0,0,0,0.59,0,0,0.64,14.35,3.19,81.22,0,34.87,79.33,1.94,0,0,0,0,2.85,0,0.65,30.77,0,6.43,1.26,2.55,4.48,3.15
 84-94,0,0,1.2,1.04,5.76,0,37.03,95.92,1.65,2.14,16.19,0,0,0,2.81,0,6.12,0,0,6.04,94.31,2.81,38.72,39.83,0,0,0,0,0,0,0,0,34.19,0,1.05,0,0,0,0
 96-106,0,0,1.78,0,5.73,3.69,63.32,69.02,0.9,0,6.15,0,0,0,0,0,0,0,17.45,0,28.43,0.93,21.94,61.28,0,0,0,1.2,4.58,1.58,0,0,23.64,0,2.89,0,6.05,1.53,1.4
108-118,0,0,0,0,1.18,1.54,32.87,63.27,0,1.94,25.79,0.67,0,0,2.96,0,0,0,1.34,3.06,29.73,0.69,35.57,47.43,0.41,0,1.09,0,0,0,0,1.15,24.14,0,8.84,0,3.13,0.62,0.68
120,0,0,0,0,4.37,5.13,20.36,102.85,0,0,0,0,0,0,0,0,0,0,1.99,8.97,35.23,6.16,37.63,97.93,0,0,0,0,0,2.53,0,0,41.59,0,7.14,0,0,0,0
