stage,epidermis,erythrocytes,eye,fin_epithelia,gut,mesenchyme,mural_cell,neural,notochord,otic,pericytes,periderm,somites,spinal_cord
 14-21,0,0,0,0,0,0,0,0.91,0,0,0,0,1.02,2.05
 24-34,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0.94
 36-46,0,0,0,0,0,1.18,0,3.9,0,0,0,1.09,0,0
 48-58,0,0,0,0,0,0.39,0,2.26,0.83,0,0,0,0,1.6
 60-70,0,0,0,0,0,0,0,2.03,0,0,0,0,0,0
 72-82,0,0,4.36,0,0,0,0,0,0.58,0,0,0,0,0
 84-94,0,0,0,0,0,1.79,0.86,0,0,0.71,0,0,0,0
 96-106,0,0,0.67,0,0.67,0,0,1.72,0,0.66,0,1.21,0,0.91
108-118,0,0,0,0,0,0,0,6.55,0,0,2.11,1.74,0,0
120,3.26,1.08,0,1.55,0,0,0,0,0,0,0,8.58,0,0
