stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,46.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,107.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.32,0,0,0,0,0,0,0,0,0,45.38,0,9.25,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,37.12,12.66,25.86,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0.94,0,5.69,0,0.87,0,3.09,0.95,7.93,0
 24-34,0,0,0,0,0,0,0,0,0,0.68,0,19.66,0.7,0,0,0,0,2.88,0
 36-46,0,0,0,0.59,0,0,1.19,0,0,1.37,0,11.74,0,0,0,0,0,8.45,0
 48-58,0,0,0,0.78,0,0,0,0,0,0.84,0,7.29,0,0,0,0,0,3.6,0
 60-70,0,0,0,4.11,0,0,0,0,0,1.01,0,14.5,0,0,0,0,0,15.69,0
 72-82,0,0,0,4.56,0,0,0,0,0,0.65,1.23,4.84,0,0,0.83,0,0,1.28,0
 84-94,0,0,0,4.9,0,0,0.97,0,0.79,0,0,10.57,0,0,0.69,0,0,0.81,3.63
 96-106,0,0,0,15.84,0,0,0,1.17,0,0,0,3.06,0,0,0,0,0,0,2.26
108-118,0,0,0,4.34,1.62,2.92,1.22,1.05,0,1.8,0,20.63,0,0,0.58,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.94,0,4.54,0,0,0,0,0,0,0
