stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,3.95,0,0.98,0,0,0,0,0,10.76,0,0,0,0,0,0,2.87,0,0,6.37,13.49,1.23,0,0,0.9,1.4,1735.72,540.92,4.68,0,0,0,0
 24-34,5.11,0,11.07,497.88,0,1.66,2.91,0,2.04,0,0,0,0,0,0,9.19,0,0,67.24,165.82,0,1.45,0,11.73,0,708.46,726.7,12.69,0,0,13.31,1.78
 36-46,2.05,7.25,15.21,603.27,6.34,0,4.16,0,0,0,0,2.71,0,0,5.56,5.8,0,0,21.45,109.83,0,0.68,1.98,2.61,0,303.52,33.9,32.26,0,0,0,2.67
 48-58,1.82,0,40.26,470.84,0,0.41,11.92,0,0.87,0,0,0,0,0,4.77,9.32,0,0,32.3,131.18,0,1.14,0,0.63,0,204.77,0,36.73,0,0,12.65,4.75
 60-70,2.88,0,60.11,270.67,0,0,1.96,0,0,0.97,0,0,0,0,0,10.54,2.63,0,22.61,74.22,0,0,0,5.17,0,103.26,0,8.09,0,0,0.82,7.51
 72-82,0.76,2.98,25.51,162.71,0,0,0.53,0,0,0,0,0,0.51,0,0,19.42,0,0,22.19,57.26,0,0,2.56,1.26,0,48.62,0,6.22,0,0,0,0
 84-94,1.73,5.27,34.9,217.64,0,1.85,3.95,1.36,0.63,0.8,0.62,0,0,0,0,20.68,0,1.94,18.48,47.83,0,0,0,2.43,0,88.6,0,0,0,0,0,18.02
 96-106,4.01,10.36,41.14,179.16,1.45,0,15.45,0.83,0,0.7,0,0,0,1.75,0,13.13,0,0,14.95,47.65,0.79,0,0.59,6.63,0,79.63,0,0,0.99,0,1.49,0
108-118,3.87,0,20.4,168.93,1.25,0,6.19,0,0,9.27,0,0,0,0,0,9.32,0,0,14.42,53.14,0,0,0,3.12,0,49.76,0,0,0,1.46,0,0
120,1.64,0,14.53,80.57,0,0,0,0,0,0,0,0,0,3.99,0,7.67,0,0,26.49,0,0,0,0,0,2.24,22.92,0,0,0,0,0,0
